amine_smiles,acid_smiles,NMR_lnk,test splits
Nc1ccc(F)cc1,CC(C)(C)C(Cl)=O,2.8353111421383623,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CC(C)(C)C(Cl)=O,2.9419886110440445,TEST1
Nc1ccc(F)cc1,CCCCC(Cl)=O,4.079729953852458,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CCCCC(Cl)=O,3.373250479611205,TEST1
Nc1ccc(F)cc1,ClC(=O)c1ccc(Cl)cc1,2.739942847389117,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1ccc(Cl)cc1,2.956752331413043,TEST1
Nc1ccc(F)cc1,CCCCCCC(Cl)=O,4.186133397849832,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CCCCCCC(Cl)=O,4.2146725050017135,TEST1
Nc1ccc(F)cc1,CC(Cl)=O,6.071962381964658,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CC(Cl)=O,6.727701389086989,TEST1
Nc1ccc(F)cc1,FC(F)(F)Oc1ccc(cc1)C(Cl)=O,2.598971671075971,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,FC(F)(F)Oc1ccc(cc1)C(Cl)=O,2.6565603961796587,TEST1
Nc1ccc(F)cc1,ClC(=O)c1cccc2ccccc12,1.4854833721588827,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1cccc2ccccc12,1.7755792729990165,TEST1
Nc1ccc(F)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.942178531541785,TEST1
COc1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,4.971164469667757,TEST1
Nc1ccccc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.6772335414229262,TEST1
Nc1c(C)cc(C)cc1C,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.6674920606582955,TEST1
CCCCCCCc1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.8875704640183826,TEST1
CC(C)c1cccc(C(C)C)c1N,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,0.6302073807860711,TEST1
C1CCC(CC1)NC2CCCCC2,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.1973023520894626,TEST1
CCCCCCc1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.924518609175774,TEST1
CSc1ccccc1N,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,0.6018539221135545,TEST1
Nc1ccccc1c2ccccc2,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,1.602090989771047,TEST1
CC(C)(C)c1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.592869529545338,TEST1
CC(C)NC(C)C,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.3000518871356896,TEST1
Nc1ccc(Br)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,1.161618386244236,TEST1
Nc1cccc2cccnc12,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,1.8835178944675957,TEST1
CC(=O)c1cccc(N)c1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.166421668181174,TEST1
COc1ccc(cc1N)C(F)(F)F,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,0.0985775633609939,TEST1
COCCOc1ccccc1N,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.207907896438195,TEST1
CC1CCCC(C)N1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.802693491918831,TEST1
Nc1ccc(C=C)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.193116149291676,TEST1
Cc1ccc(N)cc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.8918631543351427,TEST1
Cc1cccc(N)c1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.1379173646879672,TEST1
CC(C)NC1CCCCC1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,1.608357328813856,TEST1
COc1ccccc1N,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.2188318239001723,TEST1
NC(c1ccccc1)(c2ccccc2)c3ccccc3,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,-1.7696066645869217,TEST1
Cc1cccc(C)c1N,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,0.9591586321013309,TEST1
CC1CN(C(OC(C)(C)C)=O)CC(C)N1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.2716412320013224,TEST1
N#CCCNc1ccccc1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,0.8735919773410399,TEST1
Nc1ccccc1F,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,-0.6424540662444271,TEST1
COc1cccc(N)c1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,2.649410690980463,TEST1
Nc1ccc(cc1)C(=O)c2ccccc2,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,-1.1291745942507496,TEST1
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,FC(F)(F)Sc1ccc(cc1)C(Cl)=O,3.162385893426451,TEST2
Nc1ccc(F)cc1,Cc1ccc(cc1)C(Cl)=O,1.7277896752234332,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,Cc1ccc(cc1)C(Cl)=O,1.6260000007330786,TEST1
Nc1ccc(F)cc1,ClC(=O)c1ccc(Cl)cc1Cl,3.033731086645202,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1ccc(Cl)cc1Cl,3.1111970686103394,TEST1
Nc1ccc(F)cc1,ClC(=O)c1occc1,2.2482133809267077,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1occc1,2.763686716701564,TEST1
Nc1ccc(F)cc1,CCC(C(Cl)=O)c1ccccc1,5.958298328456968,TRAIN
FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,CCC(C(Cl)=O)c1ccccc1,6.125713057542053,TEST1
Nc1ccc(F)cc1,CCCCC(CC)C(Cl)=O,2.400428425293089,TRAIN
