reaction,acyl_chlorides,amines,Name,NMR_rate
rxn_17_05,17,5,Acid chloride 17 + Amine 5,14.5448
rxn_17_06,17,6,Acid chloride 17 + Amine 6,14.4038
rxn_17_07,17,7,Acid chloride 17 + Amine 7,48.7922
rxn_17_08,17,8,Acid chloride 17 + Amine 8,1.878
rxn_17_09,17,9,Acid chloride 17 + Amine 9,9.0007
rxn_17_10,17,10,Acid chloride 17 + Amine 10,50.6287
rxn_17_11,17,11,Acid chloride 17 + Amine 11,1.8255
rxn_17_12,17,12,Acid chloride 17 + Amine 12,4.9634
rxn_17_13,17,13,Acid chloride 17 + Amine 13,36.3382
rxn_17_14,17,14,Acid chloride 17 + Amine 14,9.9747
rxn_17_15,17,15,Acid chloride 17 + Amine 15,3.1951
rxn_17_16,17,16,Acid chloride 17 + Amine 16,152.342
rxn_17_17,17,17,Acid chloride 17 + Amine 17,6.5766
rxn_17_18,17,18,Acid chloride 17 + Amine 18,8.727
rxn_17_19,17,19,Acid chloride 17 + Amine 19,380.9524
rxn_17_20,17,20,Acid chloride 17 + Amine 20,1.1036
rxn_17_21,17,21,Acid chloride 17 + Amine 21,24.7273
rxn_17_22,17,22,Acid chloride 17 + Amine 22,61.592
rxn_17_23,17,23,Acid chloride 17 + Amine 23,16.489
rxn_17_24,17,24,Acid chloride 17 + Amine 24,8.9631
rxn_17_25,17,25,Acid chloride 17 + Amine 25,49.0021
rxn_17_26,17,26,Acid chloride 17 + Amine 26,23.0558
rxn_17_27,17,27,Acid chloride 17 + Amine 27,4.9946
rxn_17_28,17,28,Acid chloride 17 + Amine 28,24.9989
rxn_17_29,17,29,Acid chloride 17 + Amine 29,0.1704
rxn_17_30,17,30,Acid chloride 17 + Amine 30,2.6095
rxn_17_31,17,31,Acid chloride 17 + Amine 31,9.6953
rxn_17_32,17,32,Acid chloride 17 + Amine 32,2.3955
rxn_17_33,17,33,Acid chloride 17 + Amine 33,0.526
rxn_17_35,17,35,Acid chloride 17 + Amine 35,14.1457
rxn_17_36,17,36,Acid chloride 17 + Amine 36,0.3233
rxn_01_38,1,38,Acid chloride 1 + Amine 38,2191.3634
rxn_01_39,1,39,Acid chloride 1 + Amine 39,138.6262
rxn_01_40,1,40,Acid chloride 1 + Amine 40,12.673
rxn_01_41,1,41,Acid chloride 1 + Amine 41,1.434
rxn_01_42,1,42,Acid chloride 1 + Amine 42,1.2271
rxn_01_43,1,43,Acid chloride 1 + Amine 43,197.6356
rxn_01_44,1,44,Acid chloride 1 + Amine 44,43.4062
rxn_01_45,1,45,Acid chloride 1 + Amine 45,3.5339
rxn_01_46,1,46,Acid chloride 1 + Amine 46,10.9399
rxn_01_47,1,47,Acid chloride 1 + Amine 47,10.3811
rxn_01_48,1,48,Acid chloride 1 + Amine 48,7.4106
rxn_32_03,32,3,Amine 3 + Acid chloride 32,408.8299
rxn_33_03,33,3,Amine 3 + Acid chloride 33,7.266
rxn_34_03,34,3,Amine 3 + Acid chloride 34,3.683
rxn_35_03,35,3,Amine 3 + Acid chloride 35,190.8929
rxn_36_03,36,3,Amine 3 + Acid chloride 36,493.851
rxn_37_03,37,3,Amine 3 + Acid chloride 37,79.4808
rxn_38_03,38,3,Amine 3 + Acid chloride 38,159.8956
rxn_39_03,39,3,Amine 3 + Acid chloride 39,231.3762
rxn_40_03,40,3,Amine 3 + Acid chloride 40,7389.5464
rxn_41_03,41,3,Amine 3 + Acid chloride 41,6718.5892
rxn_42_03,42,3,Amine 3 + Acid chloride 42,29.2274
rxn_43_03,43,3,Amine 3 + Acid chloride 43,67.2141
rxn_44_03,44,3,Amine 3 + Acid chloride 44,2.9579
rxn_45_03,45,3,Amine 3 + Acid chloride 45,1158
rxn_46_03,46,3,Amine 3 + Acid chloride 46,3939
