iter	Passed	Remaining
480	714	771
481	716	769
482	717	768
483	719	767
484	721	765
485	722	764
486	724	762
487	725	761
488	727	760
489	729	758
490	730	757
491	732	756
492	733	754
493	735	753
494	737	751
495	738	750
496	740	749
497	742	747
498	743	746
499	745	745
500	746	743
501	748	742
502	749	740
503	751	739
504	752	737
505	754	736
506	755	734
507	757	733
508	759	732
509	760	730
510	761	729
511	763	727
512	765	726
513	766	725
514	768	723
515	770	722
516	771	721
517	773	719
518	774	717
519	776	716
520	777	715
521	779	713
522	781	712
523	782	711
524	784	709
525	785	708
526	787	706
527	789	705
528	790	703
529	792	702
530	793	700
531	795	699
532	796	698
533	798	696
534	800	695
535	801	693
536	803	692
537	805	691
538	806	689
539	807	688
540	809	686
541	811	685
542	812	684
543	814	682
544	816	681
545	817	679
546	819	678
547	821	677
548	823	676
549	824	674
550	826	673
551	828	672
552	830	670
553	831	669
554	833	668
555	835	667
556	837	665
557	838	664
558	840	662
559	841	661
560	842	659
561	844	657
562	845	656
563	846	654
564	848	653
565	849	651
566	851	650
567	853	649
568	855	647
569	857	646
570	858	645
571	860	644
572	862	642
573	863	640
574	865	639
575	866	637
576	868	636
577	870	635
578	871	633
579	873	632
580	874	630
581	876	629
582	877	627
583	879	626
584	881	625
585	883	623
586	884	622
587	886	621
588	888	619
589	889	618
590	891	616
591	893	615
592	894	613
593	896	612
594	898	611
595	899	610
596	901	608
597	902	606
598	904	605
599	906	604
600	908	602
601	909	601
602	911	599
603	913	598
604	914	597
605	916	595
606	917	594
607	919	592
608	921	591
609	922	589
610	923	588
611	925	586
612	927	585
613	928	583
614	930	582
615	932	581
616	934	579
617	936	578
618	937	577
619	939	575
620	941	574
621	942	572
622	944	571
623	945	569
624	947	568
625	949	567
626	950	565
627	953	564
628	956	564
629	959	563
630	961	562
631	963	561
632	967	560
633	969	559
634	972	558
635	974	557
636	977	556
637	979	555
638	982	554
639	984	553
640	987	552
641	989	551
642	991	550
643	994	549
644	997	548
645	1000	548
646	1002	547
647	1005	545
648	1008	545
649	1010	544
650	1013	543
651	1015	542
652	1018	541
653	1021	540
654	1023	538
655	1026	538
656	1028	536
657	1030	535
658	1033	534
659	1035	533
660	1038	532
661	1040	531
662	1042	529
663	1045	528
664	1048	528
665	1050	526
666	1052	525
667	1055	524
668	1058	523
669	1060	522
670	1063	521
671	1066	520
672	1068	519
673	1071	518
674	1072	516
675	1074	514
676	1076	513
677	1077	511
678	1079	510
679	1080	508
680	1082	506
681	1084	505
682	1085	503
683	1087	502
684	1088	500
685	1090	498
686	1092	497
687	1093	496
688	1095	494
689	1096	492
690	1098	491
691	1100	489
692	1101	488
693	1103	486
694	1105	484
695	1106	483
696	1107	481
697	1108	479
698	1110	478
699	1112	476
700	1113	475
701	1115	473
702	1117	472
703	1118	470
704	1120	468
705	1121	466
706	1123	465
707	1124	463
708	1125	462
709	1127	460
710	1129	459
711	1130	457
712	1132	455
713	1134	454
714	1135	452
715	1137	451
716	1139	449
717	1140	448
718	1142	446
719	1144	444
720	1146	443
721	1147	441
722	1148	439
723	1150	438
724	1151	436
725	1153	435
726	1154	433
727	1156	432
728	1157	430
729	1159	428
730	1160	427
731	1162	425
732	1164	424
733	1165	422
734	1167	420
735	1169	419
736	1170	417
737	1172	416
738	1173	414
739	1175	413
740	1177	411
741	1178	409
742	1179	408
743	1181	406
744	1182	404
745	1184	403
746	1186	401
747	1187	400
748	1189	398
749	1191	397
750	1192	395
751	1194	393
752	1196	392
753	1197	390
754	1199	389
755	1201	387
756	1202	385
757	1204	384
758	1205	382
759	1207	381
760	1209	379
761	1210	378
762	1212	376
763	1214	375
764	1215	373
765	1217	371
766	1219	370
767	1220	368
768	1222	367
769	1223	365
770	1225	363
771	1227	362
772	1228	360
773	1230	359
774	1232	357
775	1233	356
776	1235	354
777	1237	352
778	1238	351
779	1239	349
780	1241	348
781	1242	346
782	1244	344
783	1246	343
784	1247	341
785	1249	340
786	1250	338
787	1252	336
788	1253	335
789	1255	333
790	1256	332
791	1258	330
792	1260	328
793	1261	327
794	1263	325
795	1264	324
796	1266	322
797	1267	320
798	1269	319
799	1271	317
