reaction,acid_chlorides,amines,is_valid,status,message,barriers_dGTS_from_RXTS_B,barriers_dGTS_from_INT1_B,rxn_dG_B,barriers_dGTS_from_PRDS_B,lowest_barrier_dGTS_path_B,imag_freq,used_constrained
rxn_01_01,1,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -134.12 cm-1,18.07,16.6,-10.67,28.74,16.6,-134.12,FALSE
rxn_01_03,1,3,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -18.09 cm-1,20.22,21.04,-7.63,27.85,20.22,-18.09,FALSE
rxn_01_04,1,4,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -71.49 cm-1
Breaking bond change: +0.073 Å, Forming bond change: -0.213 Å",16.18,14.27,-8.75,24.93,14.27,-71.49,TRUE
rxn_01_05,1,5,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -232.62 cm-1,17.17,15.4,-7.33,24.5,15.4,-232.62,TRUE
rxn_01_06,1,6,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -289.15 cm-1
Breaking bond change: +0.124 Å, Forming bond change: -0.396 Å",15.3,17.81,-8.19,23.49,15.3,-289.15,TRUE
rxn_01_07,1,7,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -140.23 cm-1,12.02,16.23,-6.5,18.52,12.02,-140.23,TRUE
rxn_01_08,1,8,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -9.55 cm-1,16.79,24.09,-9,25.79,16.79,-9.55,FALSE
rxn_01_09,1,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -177.92 cm-1,20.32,19.39,-3.5,23.82,19.39,-177.92,FALSE
rxn_01_10,1,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -34.47 cm-1,16.67,16.79,-8.01,24.68,16.67,-34.47,FALSE
rxn_01_11,1,11,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -35.47 cm-1,19.48,17.96,-7.23,26.71,17.96,-35.47,FALSE
rxn_01_12,1,12,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -39.41 cm-1,17.99,17.73,-8.35,26.34,17.73,-39.41,FALSE
rxn_01_13,1,13,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -165.46 cm-1,16.14,11.23,-7.71,23.85,11.23,-165.46,TRUE
rxn_01_14,1,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -141.81 cm-1,15.04,17.95,-5.68,20.72,15.04,-141.81,FALSE
rxn_01_15,1,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -65.61 cm-1,16.11,17.09,-6.77,22.88,16.11,-65.61,FALSE
rxn_01_16,1,16,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -111.71 cm-1
Breaking bond change: +0.079 Å, Forming bond change: -0.222 Å",18.6,17.9,-12.23,30.83,17.9,-111.71,TRUE
rxn_01_17,1,17,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -96.25 cm-1,16.59,14,-9.42,26.01,14,-96.25,FALSE
rxn_01_18,1,18,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -166.44 cm-1,20.45,18.89,-6.07,26.52,18.89,-166.44,FALSE
rxn_01_19,1,19,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -43.35 cm-1,15.31,13.65,-11.25,26.56,13.65,-43.35,FALSE
rxn_01_20,1,20,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -78.41 cm-1
Breaking bond change: +0.110 Å, Forming bond change: -0.232 Å",18.47,18.35,-7.74,26.21,18.35,-78.41,FALSE
rxn_01_21,1,21,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -27.48 cm-1,11.79,10.81,-10.39,22.18,10.81,-27.48,FALSE
rxn_01_22,1,22,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -239.12 cm-1,14.14,8.95,-12.3,26.44,8.95,-239.12,FALSE
rxn_01_23,1,23,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -224.54 cm-1,25.11,23.05,1.33,23.78,23.05,-224.54,FALSE
rxn_01_24,1,24,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -43.36 cm-1
Breaking bond change: +0.068 Å, Forming bond change: -0.149 Å",22.29,22.32,-7.64,29.93,22.29,-43.36,FALSE
rxn_01_25,1,25,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -43.06 cm-1,17.78,15.82,-8.33,26.11,15.82,-43.06,FALSE
rxn_01_26,1,26,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -65.75 cm-1
Breaking bond change: +0.094 Å, Forming bond change: -0.191 Å",18.51,17.41,-7.65,26.16,17.41,-65.75,FALSE
rxn_01_27,1,27,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -65.04 cm-1
Breaking bond change: +0.130 Å, Forming bond change: -0.265 Å",19.36,21.43,-8.05,27.41,19.36,-65.04,FALSE
rxn_01_28,1,28,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -18.00 cm-1,17.19,16.66,-9.25,26.44,16.66,-18,FALSE
rxn_01_29,1,29,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -52.71 cm-1,29.82,31.87,-8.07,37.89,29.82,-52.71,FALSE
rxn_01_30,1,30,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -4.51 cm-1,22.32,23.91,-7.31,29.63,22.32,-4.51,FALSE
rxn_01_31,1,31,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -106.09 cm-1
Breaking bond change: +0.298 Å, Forming bond change: -0.134 Å",26.7,24.47,-3.56,30.26,24.47,-106.09,FALSE
rxn_01_32,1,32,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -143.09 cm-1
Breaking bond change: +0.099 Å, Forming bond change: -0.297 Å",19.53,25.64,-7.55,27.08,19.53,-143.09,TRUE
rxn_01_33,1,33,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -276.79 cm-1,18.66,15.87,-7.8,26.46,15.87,-276.79,TRUE
rxn_01_35,1,35,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -23.14 cm-1,16.97,21.15,-6.98,23.95,16.97,-23.14,FALSE
rxn_01_36,1,36,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -226.70 cm-1,15.6,12.33,-6.79,22.39,12.33,-226.7,TRUE
rxn_01_37,1,37,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -49.39 cm-1
Breaking bond change: +0.054 Å, Forming bond change: -0.151 Å",13.13,18.46,-7.43,20.56,13.13,-49.39,TRUE
rxn_01_38,1,38,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -23.03 cm-1,5.78,14.43,-19.1,24.88,5.78,-23.03,FALSE
rxn_01_39,1,39,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -24.60 cm-1
Breaking bond change: +0.038 Å, Forming bond change: -0.106 Å",15.98,15.29,-8.21,24.19,15.29,-24.6,TRUE
rxn_01_40,1,40,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -213.09 cm-1,15.1,16.92,-7.27,22.37,15.1,-213.09,TRUE
rxn_01_41,1,41,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -72.73 cm-1
Breaking bond change: +-0.077 Å, Forming bond change: 0.231 Å",9.57,18.4,-8.66,18.23,9.57,-72.73,TRUE
rxn_01_42,1,42,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -34.15 cm-1,20.47,18.71,-6.69,27.16,18.71,-34.15,FALSE
rxn_01_43,1,43,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -227.53 cm-1,16.56,14.82,-7.99,24.55,14.82,-227.53,TRUE
rxn_01_44,1,44,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -224.18 cm-1,16.55,12.97,-8.05,24.6,12.97,-224.18,TRUE
rxn_01_45,1,45,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -50.11 cm-1,14.05,16.88,-10.64,24.69,14.05,-50.11,FALSE
rxn_01_46,1,46,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -138.05 cm-1,20.35,22.49,-7.53,27.88,20.35,-138.05,FALSE
rxn_01_47,1,47,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -176.32 cm-1,17.25,23.01,-7.3,24.55,17.25,-176.32,FALSE
rxn_01_48,1,48,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -169.65 cm-1
Breaking bond change: +0.106 Å, Forming bond change: -0.315 Å",16.51,15.3,-1.35,17.86,15.3,-169.65,TRUE
rxn_02_01,2,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -149.07 cm-1,18.12,16.33,-10.71,28.83,16.33,-149.07,FALSE
rxn_02_03,2,3,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -245.45 cm-1
Breaking bond change: +-0.100 Å, Forming bond change: 0.341 Å",18.59,17.39,-7.94,26.53,17.39,-245.45,TRUE
rxn_02_04,2,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -29.64 cm-1,18.61,17.49,-8.97,27.58,17.49,-29.64,FALSE
rxn_02_05,2,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -168.73 cm-1,20.38,23.18,-7.65,28.03,20.38,-168.73,FALSE
rxn_02_06,2,6,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -282.92 cm-1
Breaking bond change: +-0.100 Å, Forming bond change: 0.405 Å",15.33,18.42,-8.47,23.8,15.33,-282.92,TRUE
rxn_02_07,2,7,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -170.70 cm-1,16.02,19.43,-6.31,22.33,16.02,-170.7,FALSE
rxn_02_08,2,8,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -82.23 cm-1
Breaking bond change: +0.101 Å, Forming bond change: -0.235 Å",16.79,21.37,-9.28,26.07,16.79,-82.23,FALSE
rxn_02_09,2,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -186.86 cm-1,19.87,18.95,-1.46,21.33,18.95,-186.86,FALSE
rxn_02_10,2,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -2.85 cm-1,15.69,15.49,-8.04,23.73,15.49,-2.85,FALSE
rxn_02_11,2,11,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -20.05 cm-1,19.3,17.27,-7.64,26.94,17.27,-20.05,FALSE
rxn_02_12,2,12,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -46.32 cm-1,17.17,17,-8.37,25.54,17,-46.32,FALSE
rxn_02_13,2,13,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -156.45 cm-1,14.99,13.99,-8.18,23.17,13.99,-156.45,TRUE
rxn_02_14,2,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -147.68 cm-1,14.8,18.19,-9.27,24.07,14.8,-147.68,FALSE
rxn_02_15,2,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -13.59 cm-1,17.38,18.69,-7.09,24.47,17.38,-13.59,FALSE
rxn_02_16,2,16,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -97.73 cm-1,20.56,19.05,-15.47,36.03,19.05,-97.73,FALSE
rxn_02_17,2,17,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -211.82 cm-1,16.42,16.79,-9.39,25.81,16.42,-211.82,TRUE
rxn_02_18,2,18,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -209.57 cm-1
Breaking bond change: +-0.108 Å, Forming bond change: 0.349 Å",17.72,17.54,-6.36,24.08,17.54,-209.57,TRUE
rxn_02_19,2,19,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -37.46 cm-1,14.38,11.08,-11.75,26.13,11.08,-37.46,FALSE
rxn_02_20,2,20,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -33.57 cm-1
Breaking bond change: +0.073 Å, Forming bond change: -0.133 Å",18.42,20.8,-7.97,26.39,18.42,-33.57,FALSE
rxn_02_21,2,21,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -69.89 cm-1,11.1,14.21,-9.33,20.43,11.1,-69.89,FALSE
rxn_02_22,2,22,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -136.25 cm-1,14.98,12.13,-12.28,27.26,12.13,-136.25,FALSE
rxn_02_23,2,23,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -233.60 cm-1,25.01,24.15,1.02,23.99,24.15,-233.6,FALSE
rxn_02_24,2,24,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -19.16 cm-1,19.92,19.85,-7.95,27.87,19.85,-19.16,FALSE
rxn_02_25,2,25,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -21.70 cm-1,17.12,15.39,-8.54,25.66,15.39,-21.7,FALSE
rxn_02_26,2,26,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -213.77 cm-1
Breaking bond change: +0.111 Å, Forming bond change: -0.351 Å",15.72,16.74,-7.9,23.62,15.72,-213.77,TRUE
rxn_02_27,2,27,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -122.72 cm-1
Breaking bond change: +0.130 Å, Forming bond change: -0.296 Å",19.91,23.73,-7.96,27.87,19.91,-122.72,FALSE
rxn_02_28,2,28,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -168.44 cm-1,14.39,15.42,-9.35,23.74,14.39,-168.44,TRUE
rxn_02_29,2,29,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -87.56 cm-1,29.67,32.57,-8.26,37.93,29.67,-87.56,FALSE
rxn_02_30,2,30,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -97.15 cm-1
Breaking bond change: +0.291 Å, Forming bond change: -0.113 Å",26.86,25.27,-6.52,33.38,25.27,-97.15,FALSE
rxn_02_31,2,31,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -176.85 cm-1
Breaking bond change: +0.293 Å, Forming bond change: -0.218 Å",22.87,23.08,-3.1,25.97,22.87,-176.85,FALSE
rxn_02_32,2,32,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -138.95 cm-1
Breaking bond change: +0.099 Å, Forming bond change: -0.280 Å",16.65,21.55,-7.81,24.46,16.65,-138.95,TRUE
rxn_02_33,2,33,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -281.12 cm-1,18.5,18.5,-8.01,26.51,18.5,-281.12,TRUE
rxn_02_35,2,35,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -251.31 cm-1
Breaking bond change: +-0.101 Å, Forming bond change: 0.375 Å",18.04,16.25,-7.89,25.93,16.25,-251.31,TRUE
rxn_02_36,2,36,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -234.92 cm-1,13.38,16.55,-6.68,20.06,13.38,-234.92,TRUE
rxn_02_37,2,37,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -91.92 cm-1
Breaking bond change: +0.085 Å, Forming bond change: -0.248 Å",17.62,20.04,-7.72,25.34,17.62,-91.92,TRUE
rxn_02_38,2,38,FALSE,Valid TS (full opt),No imaginary modes correspond to reaction coordinate,NA,NA,NA,NA,NA,NA,FALSE
rxn_02_39,2,39,FALSE,Valid TS (full opt),No imaginary modes correspond to reaction coordinate,NA,NA,NA,NA,NA,NA,FALSE
rxn_02_40,2,40,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -217.55 cm-1,13.72,12.69,-7.75,21.47,12.69,-217.55,TRUE
rxn_02_41,2,41,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -88.15 cm-1
Breaking bond change: +-0.081 Å, Forming bond change: 0.253 Å",9.34,17.98,-8.82,18.16,9.34,-88.15,TRUE
rxn_02_42,2,42,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -222.09 cm-1
Breaking bond change: +0.114 Å, Forming bond change: -0.348 Å",17.37,13.77,-7.15,24.52,13.77,-222.09,TRUE
rxn_02_43,2,43,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -216.61 cm-1,15.4,13.51,-8.36,23.76,13.51,-216.61,TRUE
rxn_02_45,2,45,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -11.52 cm-1,14.66,17.83,-11.01,25.67,14.66,-11.52,FALSE
rxn_02_46,2,46,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -9.33 cm-1,24.56,23.41,-7.91,32.47,23.41,-9.33,FALSE
rxn_02_47,2,47,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -176.19 cm-1,21.1,22.83,-7.73,28.83,21.1,-176.19,FALSE
rxn_02_48,2,48,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -159.04 cm-1,14.36,13.94,-5.28,19.64,13.94,-159.04,TRUE
rxn_03_01,3,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -169.28 cm-1,17.6,17.54,-10.43,28.03,17.54,-169.28,FALSE
rxn_03_03,3,3,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -172.82 cm-1,20.77,20.61,-7.43,28.2,20.61,-172.82,FALSE
rxn_03_04,3,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -42.74 cm-1,17.28,16.48,-8.41,25.69,16.48,-42.74,FALSE
rxn_03_05,3,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -168.80 cm-1,20.19,18.61,-7.11,27.3,18.61,-168.8,FALSE
rxn_03_06,3,6,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -143.61 cm-1
Breaking bond change: +0.314 Å, Forming bond change: -0.163 Å",15.2,20.37,-7.76,22.96,15.2,-143.61,FALSE
rxn_03_07,3,7,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -170.46 cm-1,10.38,19.82,-12.23,22.61,10.38,-170.46,FALSE
rxn_03_08,3,8,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -23.27 cm-1
Breaking bond change: +-0.048 Å, Forming bond change: 0.082 Å",18.93,28.25,-12.5,31.43,18.93,-23.27,FALSE
rxn_03_09,3,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -208.76 cm-1,20.41,21.02,-5.87,26.28,20.41,-208.76,FALSE
rxn_03_10,3,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -170.50 cm-1,15.81,18.16,-13.76,29.57,15.81,-170.5,FALSE
rxn_03_11,3,11,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -252.75 cm-1
Breaking bond change: +0.112 Å, Forming bond change: -0.362 Å",19.07,18.07,-7.27,26.34,18.07,-252.75,TRUE
rxn_03_12,3,12,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -228.46 cm-1
Breaking bond change: +0.044 Å, Forming bond change: -0.138 Å",19.24,20.06,-7.68,26.92,19.24,-228.46,TRUE
rxn_03_13,3,13,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -169.33 cm-1,18.42,20.16,-7.47,25.89,18.42,-169.33,FALSE
rxn_03_14,3,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -165.49 cm-1,14.71,16.72,-4.24,18.95,14.71,-165.49,FALSE
rxn_03_15,3,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -177.16 cm-1,17.2,24.61,-6.7,23.9,17.2,-177.16,FALSE
rxn_03_16,3,16,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -81.05 cm-1,16.34,16.75,-11.31,27.65,16.34,-81.05,TRUE
rxn_03_17,3,17,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -32.06 cm-1
Breaking bond change: +0.051 Å, Forming bond change: -0.102 Å",19.48,21.74,-8.96,28.44,19.48,-32.06,FALSE
rxn_03_18,3,18,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -161.39 cm-1,19.9,23.42,-7.67,27.57,19.9,-161.39,FALSE
rxn_03_19,3,19,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -28.09 cm-1
Breaking bond change: +0.073 Å, Forming bond change: -0.167 Å",14.83,14.42,-15.85,30.68,14.42,-28.09,FALSE
rxn_03_20,3,20,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -17.72 cm-1
Breaking bond change: +0.051 Å, Forming bond change: -0.094 Å",19.12,20.3,-7.49,26.61,19.12,-17.72,FALSE
rxn_03_21,3,21,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -126.13 cm-1,12.27,15.48,-10,22.27,12.27,-126.13,FALSE
rxn_03_22,3,22,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -19.79 cm-1
Breaking bond change: +0.071 Å, Forming bond change: -0.031 Å",15.85,19.37,-11.81,27.66,15.85,-19.79,FALSE
rxn_03_23,3,23,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -222.50 cm-1,24.65,26.62,1.85,22.8,24.65,-222.5,FALSE
rxn_03_24,3,24,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -178.25 cm-1,19.92,22.66,-7.26,27.18,19.92,-178.25,FALSE
rxn_03_25,3,25,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -29.98 cm-1
Breaking bond change: +0.062 Å, Forming bond change: -0.114 Å",18.51,19.4,-7.86,26.37,18.51,-29.98,FALSE
rxn_03_26,3,26,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -228.51 cm-1,13.9,14.7,-7.57,21.47,13.9,-228.51,TRUE
rxn_03_27,3,27,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -89.43 cm-1,13.84,18.44,-2.4,16.24,13.84,-89.43,TRUE
rxn_03_28,3,28,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -153.01 cm-1,13.79,14.5,-8.95,22.74,13.79,-153.01,TRUE
rxn_03_29,3,29,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -87.53 cm-1,29.41,32.66,-13.86,43.27,29.41,-87.53,FALSE
rxn_03_30,3,30,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -133.69 cm-1,20.43,18.06,-6.87,27.3,18.06,-133.69,FALSE
rxn_03_31,3,31,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -215.23 cm-1,23.84,26.28,-8.19,32.03,23.84,-215.23,FALSE
rxn_03_32,3,32,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -90.58 cm-1
Breaking bond change: +0.159 Å, Forming bond change: -0.239 Å",28.28,27.09,-7.74,36.02,27.09,-90.58,FALSE
rxn_03_33,3,33,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -61.53 cm-1
Breaking bond change: +0.087 Å, Forming bond change: -0.192 Å",19.93,18.68,-7.67,27.6,18.68,-61.53,FALSE
rxn_03_35,3,35,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -129.14 cm-1,19.6,18.61,-6.66,26.26,18.61,-129.14,FALSE
rxn_03_36,3,36,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -229.26 cm-1
Breaking bond change: +0.123 Å, Forming bond change: -0.368 Å",15.12,18.58,-5.92,21.04,15.12,-229.26,TRUE
rxn_03_37,3,37,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -79.76 cm-1
Breaking bond change: +0.106 Å, Forming bond change: -0.214 Å",19.58,20.94,-6.9,26.48,19.58,-79.76,FALSE
rxn_03_38,3,38,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -60.14 cm-1,5.44,15.42,-22.06,27.5,5.44,-60.14,FALSE
rxn_03_39,3,39,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -48.93 cm-1
Breaking bond change: +0.046 Å, Forming bond change: -0.131 Å",15.73,16.18,-12.86,28.59,15.73,-48.93,TRUE
rxn_03_40,3,40,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -158.39 cm-1,18.13,17.42,-7.53,25.66,17.42,-158.39,FALSE
rxn_03_41,3,41,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -105.31 cm-1,11.5,18.83,-7.66,19.16,11.5,-105.31,FALSE
rxn_03_42,3,42,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -165.97 cm-1,21.45,19.72,-6.46,27.91,19.72,-165.97,FALSE
rxn_03_43,3,43,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -165.88 cm-1,19.22,17.68,-7.69,26.91,17.68,-165.88,FALSE
rxn_03_45,3,45,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -187.49 cm-1,11.05,13.16,-10.53,21.58,11.05,-187.49,TRUE
rxn_03_46,3,46,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -22.32 cm-1,20.17,19.78,-7.23,27.4,19.78,-22.32,FALSE
rxn_03_47,3,47,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -34.81 cm-1
Breaking bond change: +0.052 Å, Forming bond change: -0.091 Å",19.67,22.85,-6.95,26.62,19.67,-34.81,FALSE
rxn_03_48,3,48,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -130.53 cm-1,13.37,13.4,-5.37,18.74,13.37,-130.53,TRUE
rxn_04_01,4,1,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -226.05 cm-1
Breaking bond change: +-0.183 Å, Forming bond change: 0.297 Å",16.73,17.79,-16.64,33.37,16.73,-226.05,FALSE
rxn_04_03,4,3,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -241.04 cm-1,14.52,13.9,-13.05,27.57,13.9,-241.04,TRUE
rxn_04_04,4,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -83.53 cm-1,13.47,12.91,-13.76,27.23,12.91,-83.53,FALSE
rxn_04_05,4,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -79.31 cm-1,13.77,13.6,-12.9,26.67,13.6,-79.31,FALSE
rxn_04_06,4,6,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -178.40 cm-1,14.27,21.22,-11.96,26.23,14.27,-178.4,FALSE
rxn_04_07,4,7,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -170.52 cm-1,15.38,17.93,-11.15,26.53,15.38,-170.52,FALSE
rxn_04_08,4,8,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -162.94 cm-1
Breaking bond change: +0.164 Å, Forming bond change: -0.320 Å",14.2,22.32,-13.73,27.93,14.2,-162.94,TRUE
