reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits
rxn_01_42,1,42,11.76353277,6.06,False,True,0.7824726241662862,NC1=CC=CC(C#C)=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_43,1,43,11.76353277,243.2995,False,False,2.386141216421718,NC1=CC(CCC2)=C2C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_44,1,44,11.76353277,200.7105,False,False,2.3025700928301824,NC1=CC2=C(OCCO2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_45,1,45,11.76353277,9.385,False,True,0.9724342769573651,ClC1=CC(OC)=C(N)C=C1OC,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_46,1,46,11.76353277,39.6485,False,False,1.5982267615389816,NC1=CC2=C(C=C1)C3=CC=CC=C3C2,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_47,1,47,11.76353277,38.678,False,False,1.587464009066074,NC1=CC=C(OC2=CC=CC=C2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_48,1,48,11.76353277,24.594,False,False,1.3908291687001455,NC1=C(N2CCOCC2)C=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1
rxn_01_49,1,49,11.76353277,0.0,True,False,-inf,CCNCC,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_50,1,50,11.76353277,0.0,True,False,-inf,CCCCC(CC)CNCC(CC)CCCC,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_51,1,51,11.76353277,0.0,True,False,-inf,C1CCNC1,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_52,1,52,11.76353277,0.0,True,False,-inf,C1CN(CCN1)C2=CC=CC=C2F,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_01_53,1,53,11.76353277,0.0,True,False,-inf,CNCC1=C2C=CC=CC2=CC3=CC=CC=C31,ClC(c1ccc(F)cc1)=O,TRAIN
rxn_02_01,2,1,7.01754386,4.928886809,False,True,0.6927488447744945,CC(N)(C)C,ClC(=O)c1ccccc1,TRAIN
rxn_02_03,2,3,7.01754386,20.5394252,False,False,1.312588285611738,Nc1ccc(F)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_04,2,4,7.01754386,290.9090909,False,False,2.463757293148109,COc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_05,2,5,7.01754386,15.97858099,False,False,1.2035382082960937,Nc1ccccc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_06,2,6,7.01754386,17.13913021,False,False,1.2339887782299857,Nc1c(C)cc(C)cc1C,ClC(=O)c1ccccc1,TRAIN
rxn_02_07,2,7,7.01754386,50.7606679,False,False,1.7055273278311807,CCCCCCCc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_08,2,8,7.01754386,8.761154311,False,True,0.9425613296694012,CC(C)c1cccc(C(C)C)c1N,ClC(=O)c1ccccc1,TRAIN
