name,acyl_chlorides,num_Hs,IP,EA,HOMO,LUMO,global_E,global_N,hardness,BV_main_1,SA,SV,PYR,DISP_mol,DISP_atom,Charges_main_atom,fukui_E_main_atom,fukui_N_main_atom,BV_secondary_1,BV_secondary_2,L_main_atom_1,L_main_atom_2,B1_main_atom_1,B1_main_atom_2,B5_main_atom_1,B5_main_atom_2,Charges_secondary_1,Charges_secondary_2,fukui_E_secondary_1,fukui_E_secondary_2,fukui_N_secondary_1,fukui_N_secondary_2,BV_secondary_avg,L_avg,B1_avg,B5_avg,Charges_secondary_avg,fukui_E_secondary_avg,fukui_N_secondary_avg,FCS_1,FREQS_1,FCS_2,FREQS_2,FCS_avg,FREQS_avg,BV_Hs_avg,Charges_Hs_avg,fukui_E_Hs_avg,fukui_N_Hs_avg
01_acid_chloride.sdf,1,0,9.735170273345922,5.824016730291535,-0.4391954920379585,-0.3166862377287412,1.6382660074793458,-9.735170273345922,3.911153543054387,95.58836408696877,302.54911428652787,429.80403532152945,3.077519161637759e-05,17.362526692072887,23.62539798211419,0.2998544971362415,0.0550234103559049,-0.0007569145756731,49.14392200009191,112.71296099478378,3.958943896310773,7.436854660566813,1.75,1.7236219200138334,6.365429216586141,3.4105830939941035,-0.1767996453989701,-0.0078105595941273,0.1856635818115301,0.0470620374759706,0.2883470124832443,0.0501814027367071,80.92844149743784,5.6978992784387925,1.7368109600069168,4.888006155290122,-0.0923051024965487,0.1163628096437504,0.1692642076099757,1.7693493665158644,579.7694647412732,4.199618679856111,1089.943997216866,2.9844840231859875,834.8567309790697,,,,
02_acid_chloride.sdf,2,0,9.494407494044768,5.5375774437240555,-0.4312384527315878,-0.3065472054633571,1.4733087052594136,-9.494407494044768,3.956830050320713,95.50155400064683,292.2202085510424,412.1648596206143,0.0001198630628928,17.264770547452798,23.50274341349565,0.2987426555431631,0.0565196553611229,0.0029094176113433,49.10522352787612,112.66694118998662,3.9601172807307266,6.842687663879651,1.75,1.722758321063413,5.796018377000163,3.416252396997536,-0.1864602323235008,-0.0046863794992626,0.1859473916108459,0.0462802491753558,0.2739248693477524,0.0338285130665325,80.88608235893136,5.401402472305189,1.7363791605317065,4.606135386998849,-0.0955733059113817,0.1161138203931008,0.1538766912071424,1.7429393544123126,575.4262619464533,4.138483886158493,1081.9816335461708,2.940711620285403,828.703947746312,,,,
03_acid_chloride.sdf,3,0,8.805552090003472,5.477977176131649,-0.4199113085167811,-0.2996315625411339,1.3621175493540238,-8.805552090003472,3.327574913871823,95.4764522889393,386.4201065625515,589.1893276068903,0.000853500066349,17.891916666970953,24.089375565248073,0.2982639344027135,0.0549696866273287,-0.0016495822141763,49.069662769623775,112.49645873130623,3.9652467766119295,8.952860100255888,1.793446230817782,2.9826454406732696,8.145739926205481,3.5036842689943226,-0.1960400310359266,-0.0100846925684506,0.1774972891649769,0.0423013967590309,0.2086009278679116,0.0392739132810391,80.78306075046501,6.459053438433909,2.388045835745526,5.824712097599901,-0.1030623618021886,0.1098993429620039,0.1239374205744754,1.7210082996221256,571.7945651855177,4.193741517109299,1089.1810683108588,2.957374908365712,830.4878167481883,,,,
04_acid_chloride.sdf,4,0,9.943454820645409,6.108569333489354,-0.4438808464808701,-0.3261611069844274,1.808210947040602,-9.943454820645409,3.834885487156055,98.84949479964006,309.3484063017477,443.59484314880183,0.0023400695086567,17.339293847238736,23.560850507311613,0.306844782573698,0.0499070303023218,-0.0008386949862597,49.43363758938311,117.54504049848532,3.965227448558444,7.460053977889085,1.75,1.733697859907434,6.466949268800624,3.8493184321458127,-0.1763548422582778,-0.0243616063677046,0.1808265088852499,0.0490310409704353,0.2950632699089454,0.0442049616795629,83.48933904393422,5.712640713223764,1.741848929953717,5.158133850473218,-0.1003582243129912,0.1149287749278426,0.1696341157942541,1.7375475080244442,574.5355214763242,4.240214919374844,1095.199380276698,2.988881213699644,834.867450876511,,,,
05_acid_chloride.sdf,5,0,10.09374834363926,6.34677435221987,-0.4493670745272198,-0.3327421378761026,1.955565044753888,-10.09374834363926,3.7469739914193902,95.44089153068694,346.8375291820813,508.9601307719517,8.40359093799097e-05,17.390859638757533,23.726585069608433,0.2992682891285901,0.0477933232689637,0.0056579635965952,49.17843685368978,112.68053795049488,3.951424985948624,8.245506870576657,1.75,2.095466835797939,7.59081623694821,3.4139544989267177,-0.1590839310920908,0.0052729836257383,0.1775545863746161,0.0505902744776281,0.2787713486575074,0.0270458155596568,80.92948740209233,6.09846592826264,1.9227334178989697,5.502385367937464,-0.0769054737331762,0.1140724304261221,0.1529085821085821,1.827312317394528,589.1894090798655,4.052805652373048,1070.723029060479,2.940058984883788,829.9562190701721,,,,
06_acid_chloride.sdf,6,0,8.443897311513478,5.938331473229036,-0.4066524743035475,-0.3046506252153744,1.5462634327738898,-8.443897311513478,2.5055658382844417,95.52665571235435,405.77136268566505,613.7637784876339,0.0012046322536321,18.98492869794327,24.100102463073423,0.2983174191458545,0.0408597758910297,-0.0022427323646643,49.11149895580301,112.63765585966117,3.961763698720117,11.148122695522035,1.75,2.160932659609031,9.558446434923336,3.6086604933799977,-0.1923288306811087,-0.0084849893395344,0.1469026734076831,0.0371272603724722,0.1817855526922862,0.040154532953755,80.87457740773209,7.554943197121076,1.9554663298045152,6.583553464151667,-0.1004069100103215,0.0920149668900776,0.1109700428230206,1.738252580777514,574.6520789383261,4.154508696872795,1084.0744046455466,2.9463806388251546,829.3632417919364,,,,
07_acid_chloride.sdf,7,0,9.42768283679316,5.832122170980047,-0.4266570643632658,-0.3148012763740982,1.6058543412937192,-9.42768283679316,3.595560665813113,96.36965486386592,280.60950324574554,391.2832682934451,0.0,17.62490841284548,23.97528274041729,0.2976378142115953,0.0470093684040326,-0.0035391276229994,48.57808758201778,114.11447323178814,3.952894852729909,6.209599653887108,1.75,1.7765021082095145,5.7676646767601,3.3911919544176357,-0.1802599438196691,-0.0108251835051163,0.1720502229930061,0.0096644394234817,0.2641652296790281,-0.0023991616661342,81.34628040690296,5.081247253308509,1.7632510541047572,4.579428315588868,-0.0955425636623927,0.0908573312082439,0.1308830340064469,1.8088806523795633,586.210371065146,4.55791810718174,1135.4879072666847,3.1833993797806515,860.8491391659154,,,,
08_acid_chloride.sdf,8,0,8.553724573340098,5.923258670579005,-0.4033139933691262,-0.3066609884435081,1.550796851263566,-8.553724573340098,2.6304659027610926,95.50259990530132,357.3610150372465,531.7106316107589,0.0005833161681974,18.59550632132413,23.77190319069019,0.2983021059021826,0.0402082981258132,-0.0030218650712494,49.20981399332422,112.95665677927782,3.9611402761796226,8.88015928465656,1.75,1.7316236516173047,7.051162881346558,4.773110038942665,-0.1900955204122715,-0.0078248098250228,0.1533035490886119,0.0383051474042202,0.1895996416463583,0.0326262953592727,81.08323538630103,6.420649780418092,1.7408118258086525,5.912136460144612,-0.0989601651186471,0.0958043482464161,0.1111129685028155,1.7416541068788745,575.2140624882412,4.1411751203272225,1082.3333798357942,2.9414146136030483,828.7737211620176,,,,
09_acid_chloride.sdf,9,0,8.77203421892489,5.372598328306716,-0.4087156060389034,-0.2969638900516453,1.3107943654442828,-8.77203421892489,3.3994358906181743,95.52665571235435,336.03952961647286,487.06393225155045,0.0,17.3702308630827,23.75465570856386,0.2983059405301662,0.0566444999885472,-0.002600969908652,49.0466528672252,112.56653434315646,3.9674580077679926,8.85894219885136,1.75,1.8617516466082755,7.227273170771147,3.4380725620909893,-0.1991981858438892,-0.01771456041578,0.1796763138976249,0.0407444424780387,0.2284979938552647,0.0578229020458037,80.80659360519083,6.413200103309676,1.805875823304138,5.332672866431068,-0.1084563731298346,0.1102103781878318,0.1431604479505342,1.7015656597391349,568.5555416313427,4.34731188446593,1108.9440975731827,3.0244387721025325,838.7498196022627,,,,
10_acid_chloride.sdf,10,0,9.5849477922743,3.8065605775135345,-0.4276523516333739,-0.2794838570791175,0.8591755908126308,-9.5849477922743,5.778387214760764,107.76583197908934,276.9689595972525,392.6017755339238,0.0001779023658183,15.392555906943167,24.921224015215792,0.3003581293822063,0.1437937133837622,0.0166438727173097,54.24479899999505,116.7595661029702,3.977103023915181,4.6257246252268835,2.084065690043365,2.8609070169749233,4.4632798136410035,3.41149523448273,-0.1946452989471551,0.0187489256955087,0.2768630897725784,0.0084481636092151,0.2886588180452937,0.0308228708264383,85.50218255148263,4.301413824571032,2.472486353509144,3.937387524061867,-0.0879481866258231,0.1426556266908967,0.159740844435866,1.5979790324479015,550.9777726252804,3.421453593476272,983.7949330174832,2.5097163129620865,767.3863528213817,,,,
