name,amines,IP,EA,HOMO,LUMO,global_E,global_N,hardness,BV_main_1,SA,SV,PYR,DISP_mol,DISP_atom,Charges_main_atom,fukui_E_main_atom,fukui_N_main_atom,BV_secondary_1,L_main_atom_1,B1_main_atom_1,B5_main_atom_1,Charges_secondary_1,fukui_E_secondary_1,fukui_N_secondary_1,BV_secondary_avg,L_avg,B1_avg,B5_avg,Charges_secondary_avg,fukui_E_secondary_avg,fukui_N_secondary_avg,FCS_1,FREQS_1,FCS_avg,FREQS_avg
01_amine.sdf,1,8.795469718216948,-4.086986007115675,-0.3616710763078304,0.0373491962691285,0.0001333359910576,-8.795469718216948,12.882455725332624,64.57519927230244,243.8702942574092,329.91185206855926,0.7920983584733796,13.730042687853082,16.287909788989655,-0.3500143882092971,0.1674903515822653,0.1797689061212943,97.89876746871695,4.6405913675910515,2.8562265676093315,3.273811038413118,0.0968516950332794,0.0442512883650628,0.0193020161553224,97.89876746871695,4.6405913675910515,2.8562265676093315,3.273811038413118,0.0968516950332794,0.0442512883650628,0.0193020161553224,4.10198491846286,1037.9631617561265,4.10198491846286,1037.9631617561265
03_amine.sdf,3,8.287711601758286,3.137713871478273,-0.3702039334801995,-0.233801322128115,0.5413271481988106,-8.287711601758286,5.149997730280013,52.316150817132346,265.88035019517633,363.7310769962555,0.6172921439799941,15.944916996027166,16.65010661563457,-0.2805426847292137,0.0352326710273754,0.1269722184808676,91.73629724451575,7.40508816287323,1.7,3.2499301410432317,0.0761664042158895,0.041708732791108,0.0468621731615187,91.73629724451575,7.40508816287323,1.7,3.2499301410432317,0.0761664042158895,0.041708732791108,0.0468621731615187,5.216408231548439,1170.4980551306112,5.216408231548439,1170.4980551306112
04_amine.sdf,4,7.394513040595944,2.7365581054483283,-0.3469565874905025,-0.2160558695009614,0.3673730727017051,-7.394513040595944,4.657954935147616,52.05572055816661,298.940750990287,420.425615781276,0.6512393293172648,16.18987479126678,16.687241511213212,-0.2904352780982782,0.0311756589402214,0.1046098913181302,91.66099210939312,8.886276673540625,1.7123817313928569,3.253868774972794,0.0680188908686448,0.0366734841503434,0.0456308827592722,91.66099210939312,8.886276673540625,1.7123817313928569,3.253868774972794,0.0680188908686448,0.0366734841503434,0.0456308827592722,5.0963279390809575,1156.9473449530064,5.0963279390809575,1156.9473449530064
05_amine.sdf,5,8.016605409056405,2.6378518714825705,-0.3575601719150603,-0.2136431617364286,0.4124570809441211,-8.016605409056405,5.378753537573834,52.36426243123847,254.93145286236305,345.24423060529375,0.5996251696922423,15.95870435015532,16.918244954773257,-0.2841451847052023,0.0362327118517042,0.1305437662169103,91.69236924902756,6.793231017357804,1.7,3.2501863170546037,0.0784081349069482,0.0539791292876311,0.0492478867540092,91.69236924902756,6.793231017357804,1.7,3.2501863170546037,0.0784081349069482,0.0539791292876311,0.0492478867540092,5.27437295749657,1176.983375617841,5.27437295749657,1176.983375617841
06_amine.sdf,6,7.236137001186222,2.6221951676589144,-0.3430911528209963,-0.2024047051096278,0.3319718320280629,-7.236137001186222,4.613941833527308,68.16788176044417,331.1015159389241,482.83209940777135,0.6164992206363002,16.70122528159207,18.82107806178829,-0.290853852810659,0.02967828518334,0.1010655785809381,110.11911745167129,7.827748035144151,2.0281831812829796,4.472067437078254,0.0567376377456192,0.0412110663175252,0.0442604709989195,110.11911745167129,7.827748035144151,2.0281831812829796,4.472067437078254,0.0567376377456192,0.0412110663175252,0.0442604709989195,5.102686832508955,1157.6689048202588,5.102686832508955,1157.6689048202588
07_amine.sdf,7,7.281712458503272,2.712419259322004,-0.3524671931360682,-0.2110542496918004,0.3518645094661429,-7.281712458503272,4.569293199181267,52.21678987495667,461.7612356515768,696.3420112568325,0.6210259291866433,17.00624435521646,17.07057229968798,-0.2871977655231063,0.0345234948748189,0.0863259041944742,91.7070119141903,11.540928060853242,1.832025883223352,8.217675889842152,0.074422530133453,0.0551444863426681,0.0324520238740113,91.7070119141903,11.540928060853242,1.832025883223352,8.217675889842152,0.074422530133453,0.0551444863426681,0.0324520238740113,5.194371453562578,1168.0230470319484,5.194371453562578,1168.0230470319484
08_amine.sdf,8,7.396388567751172,2.7067219535394016,-0.3478635300654036,-0.2043801056851484,0.3622873490547857,-7.396388567751172,4.68966661421177,79.7481380948562,393.6315702133756,607.6239078291326,0.6252011661164035,17.62604125695821,21.800923554263324,-0.2958145136442132,0.0298159439084467,0.1017992874964485,120.16816937192333,6.781693208747949,2.499034211771547,5.755511818113993,0.061708309200001,0.0389677897337741,0.0424987779922026,120.16816937192333,6.781693208747949,2.499034211771547,5.755511818113993,0.061708309200001,0.0389677897337741,0.0424987779922026,5.074039316089162,1154.4146371175902,5.074039316089162,1154.4146371175902
09_amine.sdf,9,7.440181700293301,-2.872807111098454,-0.3416306287936004,0.0104653638226602,0.000640149225257,-7.440181700293301,10.312988811391754,109.7237654922775,398.5502044255956,621.3422035272821,0.6957705411073625,16.88489624793472,25.58299157865964,-0.2724875392237981,0.1355305592207847,0.1395229547555766,110.1609536378505,6.783169349628759,2.0683516680792806,4.056396005257007,0.0462707741485981,0.0243740376973692,-0.0078174790193648,113.80436250173454,5.842966722214873,2.6374255955483523,5.173199493711929,0.0488693413650097,0.0186652315770857,-0.0083532157703969,4.139676818442106,1042.721022047211,4.087338465823672,1036.087203863195
10_amine.sdf,10,7.313692529571538,2.71027307039489,-0.3523701417466569,-0.2110000033889446,0.3546689808599605,-7.313692529571538,4.603419459176648,52.20110130513945,431.071238788792,645.3500831736563,0.6195290218979104,16.840881326498767,17.24952068252903,-0.2870949844075112,0.0345806891026987,0.0882298330986129,91.6526248721573,13.126168945771909,1.7,5.561682609557868,0.0744394162548267,0.0552747784327695,0.0342580251225332,91.6526248721573,13.126168945771909,1.7,5.561682609557868,0.0744394162548267,0.0552747784327695,0.0342580251225332,5.190444838478372,1167.5814879293316,5.190444838478372,1167.5814879293316
11_amine.sdf,11,7.536106039110615,3.7200415397490474,-0.3540274175821531,-0.2346544413708599,0.5929589878052297,-7.536106039110615,3.816064499361568,67.5445225863736,309.0113683724872,444.67434482810785,0.584012485837828,17.513565270468206,19.59654868829224,-0.2747866579272838,0.0221378888662469,0.0640557878220906,106.54107762869224,6.790932669876167,1.7202244085666147,5.2935827079974835,0.0762461939202572,0.0293733056348732,0.0255789317489843,106.54107762869224,6.790932669876167,1.7202244085666147,5.2935827079974835,0.0762461939202572,0.0293733056348732,0.0255789317489843,5.342708135859747,1184.5833814721243,5.342708135859747,1184.5833814721243
