feature,correlation
acyl_BV_secondary_2,0.750524266703463
acyl_pka_aHs_x_has_acidic_H,0.5121028836385193
acyl_class_aromatic,0.3759359332460002
acyl_Charges_secondary_1,0.21595704213188202
