n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
38,LightGBM,0.561303224,0.404332779,each,"['acyl_B1_avg', 'amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'amine_fukui_E_secondary_1', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'amine_fukui_E_secondary_avg', 'acyl_has_num_Hs', 'acyl_fukui_E_secondary_2', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'amine_Charges_main_atom', 'amine_B1_avg', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_DISP_mol', 'acyl_B1_main_atom_2', 'acyl_fukui_E_Hs_avg', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_fukui_N_secondary_avg', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_B5_main_atom_1', 'acyl_num_Hs']"
5,XGBoost,0.529848092,0.40405413,each,"['acyl_global_E', 'amine_class_1_aromatic', 'amine_PYR', 'acyl_BV_secondary_2', 'acyl_has_acidic_H_for_pka_aHs', 'amine_L_main_atom_1', 'amine_Charges_secondary_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_class_1_mixture']"
8,Bayesian Ridge,0.27267691,0.399199534,each,"['acyl_global_E', 'acyl_FCS_1', 'amine_class_1_aromatic', 'amine_class_1_mixture', 'amine_PYR', 'acyl_BV_secondary_2', 'acyl_has_acidic_H_for_pka_aHs', 'amine_L_main_atom_1', 'amine_class_2_aliphatic', 'acyl_DISP_atom', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_class_2_mixture', 'acyl_fukui_N_Hs_avg', 'acyl_EA', 'acyl_Charges_Hs_avg']"
6,Bayesian Ridge,0.225521177,0.391130885,each,"['acyl_global_E', 'acyl_FCS_1', 'amine_class_1_aromatic', 'amine_PYR', 'acyl_BV_secondary_2', 'acyl_has_acidic_H_for_pka_aHs', 'amine_L_main_atom_1', 'amine_class_2_aliphatic', 'amine_Charges_secondary_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_class_1_mixture']"
35,LightGBM,0.514988952,0.380426569,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'acyl_has_num_Hs', 'acyl_fukui_E_secondary_2', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'amine_Charges_main_atom', 'amine_B1_avg', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'acyl_DISP_mol', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs']"
33,LightGBM,0.552782983,0.377298845,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'acyl_has_num_Hs', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs']"
34,LightGBM,0.547106112,0.376926095,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'acyl_has_num_Hs', 'acyl_fukui_E_secondary_2', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'amine_B1_avg', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs']"
36,LightGBM,0.524420569,0.376074643,each,"['amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'amine_fukui_E_secondary_1', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'acyl_has_num_Hs', 'acyl_fukui_E_secondary_2', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'amine_Charges_main_atom', 'amine_B1_avg', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'acyl_DISP_mol', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_B5_main_atom_1', 'acyl_num_Hs']"
37,LightGBM,0.573772282,0.375902771,each,"['acyl_B1_avg', 'amine_class_1_aromatic', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_HOMO', 'amine_SA', 'amine_B5_main_atom_1', 'amine_class_1_mixture', 'amine_fukui_E_secondary_1', 'acyl_pka_aHs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_L_main_atom_1', 'amine_EA', 'amine_B5_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_BV_secondary_avg', 'amine_fukui_E_main_atom', 'amine_class_2_aliphatic', 'amine_fukui_E_secondary_avg', 'acyl_has_num_Hs', 'acyl_fukui_E_secondary_2', 'acyl_FREQS_1', 'acyl_num_Hs_x_has_num_Hs', 'acyl_EA', 'amine_BV_main_1', 'acyl_FCS_1', 'amine_BV_secondary_1', 'amine_FREQS_avg', 'amine_PYR', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'amine_Charges_main_atom', 'amine_B1_avg', 'acyl_pka_lowest_x_has_acidic_H', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'acyl_has_pKa_features', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_BV_Hs_avg', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_fukui_N_secondary_1', 'amine_FCS_1', 'acyl_fukui_E_Hs_avg', 'acyl_DISP_mol', 'amine_B1_main_atom_1', 'acyl_BV_main_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_SV', 'amine_hardness', 'acyl_class_hetero', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'acyl_pka_aHs_x_has_acidic_H', 'amine_Charges_secondary_1', 'amine_global_E', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_B5_main_atom_1', 'acyl_num_Hs']"
39,LightGBM,0.534441174,0.368850115,each,"['amine_class_1_aromatic', 'amine_class_1_aliphatic', 'acyl_LUMO', 'amine_HOMO', 'amine_class_1_mixture', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_global_E', 'acyl_class_aromatic', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_fukui_E_secondary_2', 'acyl_num_Hs_x_has_num_Hs', 'amine_BV_secondary_1', 'acyl_fukui_N_secondary_2', 'amine_L_main_atom_1', 'acyl_pka_aHs_x_has_pKa_features', 'acyl_has_pKa_features', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'amine_fukui_N_secondary_1', 'acyl_BV_main_1', 'acyl_pka_lowest', 'amine_L_avg', 'acyl_Charges_secondary_1', 'amine_SV', 'amine_DISP_atom', 'acyl_fukui_N_Hs_avg', 'amine_LUMO', 'acyl_num_Hs', 'acyl_B1_main_atom_1', 'amine_B5_main_atom_1', 'amine_B5_avg', 'amine_EA', 'amine_BV_secondary_avg', 'acyl_has_num_Hs', 'amine_BV_main_1', 'acyl_FCS_1', 'acyl_pka_lowest_x_has_acidic_H', 'amine_class_2_mixture', 'acyl_BV_Hs_avg', 'acyl_DISP_mol', 'acyl_B1_main_atom_2', 'acyl_fukui_E_Hs_avg', 'acyl_class_hetero', 'acyl_pka_aHs_x_has_acidic_H', 'amine_global_E', 'acyl_B5_main_atom_1', 'acyl_class_aliphatic', 'amine_FCS_avg', 'acyl_BV_secondary_2', 'amine_SA', 'acyl_pka_aHs', 'acyl_L_main_atom_1', 'amine_class_2_aliphatic', 'acyl_FREQS_1', 'acyl_EA', 'amine_PYR', 'amine_Charges_main_atom', 'amine_pka_basic', 'acyl_pka_lowest_x_has_pKa_features', 'amine_global_N', 'acyl_Charges_Hs_avg', 'acyl_DISP_atom', 'amine_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'amine_hardness', 'amine_B1_avg', 'amine_B1_main_atom_1', 'acyl_B1_avg', 'amine_FREQS_1', 'amine_Charges_secondary_avg', 'amine_fukui_E_secondary_1', 'amine_fukui_E_main_atom', 'amine_fukui_E_secondary_avg', 'amine_FREQS_avg', 'amine_DISP_mol', 'acyl_class_mixture', 'amine_fukui_N_main_atom', 'amine_Charges_secondary_1', 'amine_fukui_N_secondary_avg']"
