acyl_chlorides,amines,y_true,y_pred,y_std_boot,y_ci95_lower,y_ci95_upper,split
1,4,2.628538444878437,2.5279989402414222,1.6344843403729086e-09,2.5279989372363216,2.527998943646944,TEST
1,7,1.817767004871492,1.6563060899626172,1.3749194569951876e-09,1.656306087471586,1.6563060928849944,TEST
1,18,0.8126459728437819,1.0139597727170895,2.2649963562318435e-09,1.0139597680759809,1.013959777096297,TEST
1,21,1.6464938424872213,1.8327692460919378,2.1352866901053236e-09,1.832769242025441,1.8327692501482302,TEST
1,28,1.586274097840673,1.310981332308114,3.345889118277198e-09,1.3109813262057908,1.3109813395800283,TEST
1,37,1.3386945307066749,1.4401587065937793,1.6708099518958261e-09,1.4401587029742173,1.4401587096426987,TEST
1,42,0.5970051413473701,1.10740076396415,2.147690666953449e-09,1.107400759584667,1.1074007677832365,TEST
2,6,1.2339887782299857,1.096446859342715,2.649296628980619e-09,1.0964468546404988,1.0964468650650119,TEST
2,7,1.7055273278311804,1.4709921068390823,2.093132586153787e-09,1.4709921023454589,1.4709921105732733,TEST
3,21,1.1665875050799814,1.2053864803033152,2.5832741422197646e-09,1.2053864752318837,1.2053864852126335,TEST
3,22,2.047058858308353,1.7997988824579347,7.2357222198229146e-09,1.799798869756694,1.7997988982185447,TEST
3,27,0.7401793267991856,0.8901110991297134,3.1855285488986903e-09,0.89011109317984,0.8901111056268929,TEST
3,33,0.4761663061386466,0.5574497565380812,3.6735002719931694e-09,0.5574497487214435,0.5574497632834289,TEST
3,37,1.1448950451451592,1.1768339402225187,2.1820126243922787e-09,1.176833936044923,1.176833944241657,TEST
4,3,2.509494237018178,2.294910992847026,2.2985400401206182e-09,2.294910987892725,2.2949109972222717,TEST
4,7,2.746594283961722,2.505465808519756,2.9686484733025166e-09,2.5054658029062122,2.5054658146811626,TEST
4,9,1.9558139377153672,1.8709813077529078,6.262445439389115e-09,1.8709812938649046,1.8709813189176323,TEST
4,14,1.977088178356645,2.5228318224400725,5.179099263778316e-09,2.5228318112680364,2.5228318319899907,TEST
4,18,1.943447898074553,1.8539538676817675,2.144257569535358e-09,1.8539538635959167,1.8539538716096735,TEST
4,20,1.8146600728698188,1.9668843370527915,5.463088532433553e-09,1.9668843251489079,1.9668843464856687,TEST
4,26,2.6938827177131124,2.7271846143691714,1.9843948212138263e-09,2.727184610682091,2.7271846183322417,TEST
4,28,2.5265080260426718,2.304763885348059,4.576417472967465e-09,2.3047638766372875,2.304763894738342,TEST
4,32,1.9612065655905784,1.6658910760475136,3.87946535250971e-09,1.6658910687506825,1.6658910837685643,TEST
4,35,2.415679611373922,1.979780211978528,1.6682987255550803e-09,1.9797802086596723,1.9797802152798472,TEST
4,37,2.689977607578294,1.882911790151427,6.386353559486229e-09,1.8829117790665437,1.8829118038631367,TEST
5,8,1.4404228695626946,1.7210681133330934,1.7315206325261723e-09,1.7210681102653578,1.7210681167477346,TEST
5,14,2.01005807718128,2.5237115476937158,5.633891523808045e-09,2.5237115353488444,2.523711558185245,TEST
5,18,1.8498403404978052,1.874558992827485,3.2795854149783223e-09,1.874558986907529,1.8745589993891532,TEST
5,20,1.8198094960806444,2.0204835310311315,1.8735193790251797e-09,2.020483527329095,2.0204835345018473,TEST
5,21,2.5587771199465505,2.339128874111569,2.592582451815913e-09,2.339128869388888,2.3391288798367422,TEST
5,31,2.5383644107322194,2.170505637745108,4.075251036000363e-09,2.1705056298890066,2.1705056462320225,TEST
5,33,2.2670475092258333,1.5834196359310357,2.343930883526152e-09,1.5834196314608995,1.5834196404448098,TEST
5,35,2.3116211970917626,2.0464921733445167,1.9723528587946416e-09,2.0464921695730505,2.046492177186023,TEST
5,37,2.1018519162644163,2.008896232165393,3.445236057800861e-09,2.008896226043041,2.008896239676925,TEST
6,3,1.131993294689315,0.9488025737651243,2.0648345835097992e-09,0.948802569995237,0.9488025782210104,TEST
6,5,1.125952259737334,0.9892099001914251,2.0151109498748475e-09,0.9892098966398459,0.9892099046271119,TEST
6,11,0.5902151406641086,0.6113956515419827,2.693312293429733e-09,0.6113956464372219,0.6113956571142003,TEST
6,17,0.904741971807668,0.8400935180424584,2.583914266449237e-09,0.840093513255115,0.8400935238685915,TEST
7,4,2.064079569638824,1.8629699729952545,4.03173171760552e-09,1.8629699654205079,1.8629699809406937,TEST
7,13,0.9403485690203964,1.260843097890703,3.0755487650452658e-09,1.2608430919683487,1.260843103864472,TEST
7,18,0.6475074266539663,0.8221556674795456,6.952848028219128e-09,0.8221556524283887,0.8221556792296522,TEST
7,19,3.709269960975831,2.698108719121035,5.500753519976175e-09,2.6981087086196376,2.698108730081712,TEST
7,22,3.72055097137682,2.323917985747542,4.053528309310861e-09,2.3239179775514938,2.3239179934617087,TEST
7,29,1.2736204669884716,0.7328366697495516,3.315470993526314e-09,0.7328366634154254,0.732836676438187,TEST
7,30,1.2436608497295136,0.8499255144549521,2.3578299132005753e-09,0.8499255095080283,0.849925518573633,TEST
7,33,1.285814592317886,0.8419452990454189,4.346103702815151e-09,0.84194528963374,0.8419453064962303,TEST
7,37,0.4758197283800496,1.1631041170720307,2.2410077213591418e-09,1.1631041130546924,1.163104121622095,TEST
8,3,1.1943468339752097,1.0139034309861885,3.3630729677237225e-09,1.0139034240539677,1.0139034370571043,TEST
8,4,2.299540952930785,2.1517027954330366,4.151034016516586e-09,2.1517027880265114,2.1517028037109123,TEST
8,7,1.8403640983673988,1.7547009200650703,2.8546199534488967e-09,1.7547009149636184,1.7547009258823856,TEST
8,9,1.0745306280071691,0.7565032080672445,2.6382191478576342e-09,0.7565032027396587,0.7565032130634765,TEST
8,24,1.021351807714389,0.9001833355279746,2.2922532726135298e-09,0.9001833313930928,0.9001833402309438,TEST
8,26,1.4191507825354612,1.2820785500164107,1.966868984044098e-09,1.2820785458223378,1.2820785536650774,TEST
8,32,0.0319545888329137,0.4936967172972027,4.728028321509962e-09,0.4936967088375257,0.4936967278492672,TEST
9,3,0.4139791278315436,0.8785591641773189,1.1486592000970293e-09,0.8785591621070719,0.8785591665138723,TEST
9,10,1.0478465098102745,1.129716251734457,2.2945974409049315e-09,1.1297162474027769,1.1297162565207073,TEST
9,12,0.7124620432642064,0.6398390528981065,1.754667461757853e-09,0.6398390493297942,0.6398390563014489,TEST
9,16,3.2321487063409915,2.077384375409433,2.7887849982237987e-09,2.0773843701909906,2.077384381535767,TEST
9,20,0.8535677392410589,0.5397733319466373,2.2254506459942706e-09,0.539773327390667,0.5397733360820309,TEST
9,25,0.9977231638446568,1.3790175261227615,1.5921149997286785e-09,1.3790175231565962,1.3790175293293816,TEST
9,26,0.4141821522879512,1.0722939703308199,2.0100741841615625e-09,1.0722939665883338,1.0722939745195765,TEST
9,32,0.5037887442479265,0.38717976428489825,1.7557165188766695e-09,0.38717976109668667,0.38717976784876856,TEST
9,33,0.9179810523697648,0.4733024327981661,2.5273278611503723e-09,0.47330242805675493,0.47330243776062547,TEST
9,37,0.3372887661462162,1.054492989339255,2.5228524689109608e-09,1.0544929844373778,1.0544929943515076,TEST
10,6,0.2098569672141804,0.9640291602702624,2.090483073965606e-09,0.9640291560160099,0.9640291642108535,TEST
10,8,-0.0338161000181882,0.6788969780155965,3.739499675606806e-09,0.6788969699862941,0.678896984717589,TEST
10,9,0.7936869182544245,0.505635968931895,2.793168304353853e-09,0.5056359628704712,0.5056359738353123,TEST
10,10,2.076892406979559,1.7840168225798128,1.959389504368523e-09,1.7840168186854448,1.7840168262487717,TEST
10,17,1.87515581342602,1.2144532991060208,1.8386702067697564e-09,1.214453295660159,1.2144533029927955,TEST
10,26,1.634697617392311,1.6346195925477436,1.8081010775298836e-09,1.6346195885616714,1.6346195956156564,TEST
10,28,2.107897144593646,1.5982670061789939,2.652767199576281e-09,1.5982670012411444,1.5982670110988548,TEST
11,8,2.355157938424429,2.324839364663445,1.9685072098521287e-09,2.3248393607279385,2.324839368129425,TEST
11,23,2.00880125804624,1.8270382482999485,3.9646939796174065e-09,1.827038241126765,1.827038256551502,TEST
11,26,2.6461512732611605,2.7078056677461975,1.77841331177134e-09,2.707805663935989,2.7078056709661067,TEST
12,4,2.6258150518340497,2.4241766359877537,2.268242541228027e-09,2.4241766319957554,2.424176640597566,TEST
12,25,2.229965202886006,1.977743603439297,2.1324773609910222e-09,1.9777435997056199,1.9777436082105488,TEST
13,3,2.7329480604716214,2.683211652356506,3.690032913277389e-09,2.6832116443650387,2.6832116592200705,TEST
13,7,3.0319775014575177,3.0302796491657946,1.7491655007740325e-09,3.0302796454742498,3.0302796525308047,TEST
13,13,3.1393946528738583,2.857306671912141,1.7856369100546635e-09,2.8573066685142914,2.8573066756798955,TEST
13,18,2.489522882514702,2.629931740746747,1.8468269573828316e-09,2.6299317371428117,2.6299317445559014,TEST
13,19,2.709269960975831,3.291649116603112,7.839570088391054e-09,3.2916491015687828,3.29164913238666,TEST
13,21,3.584331224367531,2.8898670683158945,6.319903836605013e-09,2.8898670545255594,2.889867079528068,TEST
13,25,2.9311187105752223,2.8765675101466215,3.7130989492943186e-09,2.8765675033738094,2.8765675182816053,TEST
