method,test_r2,test_mae,test_rmse,coverage90_test,coverage95_test,q90,q95,n_test,calibration_split,weights,intercept,alpha_or_solver
equal_mean,0.8031734537180023,0.32684558562303295,0.4261258151361156,0.8252427184466019,0.9514563106796117,0.5890739316068394,0.8542896738534842,206,VAL,,, 
ridge,0.8028320304454173,0.333248245295922,0.42649524251991094,0.8446601941747572,0.9611650485436893,0.6521804248440718,0.8572151148782923,206,VAL,"[0.2866853559979319, 0.5692984719732703, 0.746948062499934, -0.5828332721989826]",-0.032661622330315554,0.1623776739188721
nnls,0.8012024470196564,0.32943158460130584,0.4282540967320269,0.8398058252427184,0.941747572815534,0.6124736785772456,0.8438092007040531,206,VAL,"[0.0, 0.3890298159508852, 0.6180282718973118, 0.0]",-0.01141775482695917,nnls
