acyl_chlorides,amines,y_true,y_pred,y_std_members,y_std_boot,y_ci95_lower,y_ci95_upper,split
1,1,2.717622709509551,1.6759489211965235,0.6995323443323982,0.24081180976541672,1.2039577740563068,2.1479400683367404,TRAIN
1,3,1.2921142450701282,1.278369028574826,0.06759399855653862,0.024708590645523498,1.2299401909096,1.326797866240052,TRAIN
1,5,1.2522770746338756,1.2795089933947192,0.07543128475373401,0.026453812786578282,1.2276595203330258,1.3313584664564126,TRAIN
1,8,0.7229792382615611,0.833865204641282,0.077975025983911,0.02687380641659283,0.78119254406476,0.886537865217804,TRAIN
1,11,0.7238039389075566,0.740169788102244,0.03675607778789336,0.013183778676423263,0.7143295818964543,0.7660099943080336,TRAIN
1,12,1.2657553869643257,1.0299662042930078,0.10274193380854461,0.03460429057540829,0.9621417947652076,1.097790613820808,TRAIN
1,14,0.9030896009039776,1.0791039385330443,0.13788046595197,0.04833665153700509,0.9843641015205143,1.1738437755455742,TRAIN
1,15,0.6385054329746982,0.8844141429701959,0.25143503656219207,0.08713436690920029,0.7136307838281634,1.0551975021122284,TRAIN
1,16,3.133538908370217,3.137978121161929,0.0388040132953484,0.013771955735638877,3.110985087920077,3.164971154403781,TRAIN
1,17,1.0986434486298131,1.2774969992710907,0.22749038880644756,0.07965603634046947,1.1213711680437706,1.4336228304984109,TRAIN
1,19,3.0280287237359604,3.0222768244421028,0.09595019180610234,0.034602081542441036,2.9544567446189185,3.090096904265287,TRAIN
1,20,0.4097468565668261,0.8382049862508306,0.2316569074612597,0.07896578683280268,0.6834320440585373,0.9929779284431239,TRAIN
1,22,2.9311187105752223,2.978152809088278,0.07718395636890758,0.0268481196770313,2.9255304945212965,3.030775123655259,TRAIN
1,24,1.0419966958630476,1.2487538934998772,0.20268304028297732,0.07042735288193469,1.1107162818512852,1.3867915051484692,TRAIN
1,25,1.8131672493419149,1.950471403718154,0.0679598332397984,0.023942301654412464,1.9035444924755056,1.9973983149608026,TRAIN
1,27,0.2017738206241982,0.9469384562145874,0.3949925988202384,0.13443661225867315,0.683442696187588,1.2104342162415866,TRAIN
1,35,1.105856589054512,1.1314795060645992,0.06467636777662604,0.022699618047609508,1.0869882546912846,1.175970757437914,TRAIN
1,36,0.4356037600628257,0.5941132431687921,0.17478941789949853,0.061637245052149264,0.47330424286657957,0.7149222434710046,TRAIN
1,38,3.533136288278639,3.5008322449123352,0.09732438280123676,0.034475497003345235,3.4332602707857784,3.568404219038892,TRAIN
1,39,2.8750612633917,2.58380342500762,0.2585546434017605,0.09048730329550954,2.4064483105484213,2.7611585394668183,TRAIN
1,40,0.6953487706252319,1.0212061196725746,0.19242973930284213,0.06555247524260249,0.8927232681970737,1.1496889711480756,TRAIN
1,43,2.386141216421718,2.130785414164999,0.21140772352124798,0.0730778661121638,1.987552796585158,2.27401803174484,TRAIN
1,44,2.302570092830182,2.149819745785657,0.12904043654548128,0.044545837600187294,2.06250990408929,2.2371295874820243,TRAIN
1,45,-0.0212054267646856,1.0772304401711188,0.6332362588067983,0.2144604728343054,0.6568879134158803,1.4975729669263573,TRAIN
1,46,1.5982267615389816,1.4026106219283259,0.10228520522648826,0.03547534322244171,1.33307894921234,1.4721422946443117,TRAIN
1,47,1.587464009066074,1.5264376314975816,0.11471114573101311,0.03998211300639907,1.4480726900050394,1.6048025729901239,TRAIN
2,4,2.463757293148109,2.205410102568352,0.20678821230352318,0.07171308856072522,2.0648524489893307,2.3459677561473735,TRAIN
2,5,1.2035382082960937,1.0995027257176528,0.0478452249591056,0.016489852426539723,1.067182614961635,1.1318228364736707,TRAIN
2,8,0.8272072256497836,0.7803707926705566,0.08740796742320556,0.030630615430914603,0.720334786425964,0.8404067989151492,TRAIN
2,9,1.0691919817071538,0.9143854637055481,0.08493637467363732,0.028832935038226946,0.8578729110306232,0.9708980163804729,TRAIN
2,11,0.8091021735322621,0.6296892283710422,0.08213419897633666,0.0279931542841414,0.5748226459741251,0.6845558107679593,TRAIN
2,12,0.8415342627719524,0.7900393641613295,0.06448369421088364,0.022493845352415207,0.7459514272705957,0.8341273010520632,TRAIN
2,15,0.893473058466833,0.8736945998810635,0.062435925329345034,0.021835522876014247,0.8308969750440756,0.9164922247180514,TRAIN
2,16,3.2321487063409915,3.231575462772498,0.054654662016679095,0.01944610320288009,3.193461100494853,3.269689825050143,TRAIN
2,17,1.1067616624742025,1.0184196934094707,0.05592506428530393,0.019601039254026082,0.9800016564715796,1.0568377303473617,TRAIN
2,18,1.0344337536187769,0.8497099016053392,0.08344013763927262,0.02786196227738548,0.7951004555416636,0.9043193476690148,TRAIN
2,20,1.0243384337450268,0.8626999693726559,0.08032104440293619,0.028076774609128278,0.8076694911387645,0.9177304476065473,TRAIN
2,21,1.495049651469867,1.5239479335918786,0.06675221152645022,0.023642971530690168,1.477607709391726,1.5702881577920313,TRAIN
2,22,2.8641719209446093,2.899821035459918,0.14587246899746903,0.051192658276385916,2.7994834252382015,3.0001586456816343,TRAIN
2,23,1.074694092747203,0.9786860456040487,0.04956024802578094,0.016913867320661427,0.9455348656555523,1.0118372255525452,TRAIN
2,24,1.1463435786811749,1.133757135983553,0.09667571636939867,0.03457326286321753,1.0659935407716465,1.2015207311954594,TRAIN
2,25,1.806179973983887,1.8397699658135906,0.08387467177331434,0.028932121457802558,1.7830630077562977,1.8964769238708836,TRAIN
2,26,1.4043925984520431,1.3881448819235025,0.06898627147888975,0.024415154009626856,1.3402911800646338,1.4359985837823712,TRAIN
2,28,1.387498121785386,1.307629224549407,0.07987338338224138,0.028691587343289787,1.251393713356559,1.363864735742255,TRAIN
2,29,0.8725002131148136,0.8463699412685693,0.06215584091611357,0.021957883223459283,0.8033324901505892,0.8894073923865495,TRAIN
2,30,0.723804937475213,0.6712649406272936,0.04361790716136701,0.015175419487256784,0.6415211184322703,0.7010087628223168,TRAIN
2,31,0.8025062858779184,0.9405311685906889,0.09556023538766853,0.03348243514604419,0.8749055957044423,1.0061567414769355,TRAIN
2,35,1.0561405737264316,1.0978602370432866,0.09303773966594578,0.032699498031037846,1.0337692209024525,1.1619512531841207,TRAIN
2,37,1.4613842639416232,1.3188204964665338,0.08114076138196803,0.02737536238056131,1.2651647862006337,1.3724762067324339,TRAIN
3,3,0.9030638025340028,0.8603524145761644,0.03157799508784239,0.011296277401887904,0.8382117108684641,0.8824931182838647,TRAIN
3,4,1.9513936912028556,1.8590373215271707,0.1010563215632153,0.03514382783698126,1.7901554189666875,1.927919224087654,TRAIN
3,5,0.9088330797392212,0.8806085734018325,0.09557894265397074,0.03342851532468846,0.8150886833654432,0.9461284634382219,TRAIN
3,6,0.9438394076863004,0.9074164978639983,0.05975220156384943,0.02071176649285048,0.8668214355380113,0.9480115601899852,TRAIN
3,7,1.4285596292072016,1.5617456193489312,0.1709663159518812,0.06071377583763665,1.4427466187071634,1.680744619990699,TRAIN
3,8,0.3342131935688118,0.4462495060205002,0.10057259563882215,0.03498388859356447,0.3776810843771138,0.5148179276638866,TRAIN
3,9,0.4804490941915259,0.5383294501269081,0.05836718073905977,0.020702502615750445,0.4977525450000373,0.578906355253779,TRAIN
3,11,0.4210506137020427,0.45029802245237494,0.04923677084377895,0.017191905694064407,0.4166018872920087,0.48399415761274117,TRAIN
3,13,1.3515614858133842,1.2203842778831206,0.06390101626965368,0.021886677265390293,1.1774863904429558,1.2632821653232855,TRAIN
3,14,0.5349918548109228,0.6374223594439339,0.1497355367161574,0.05307638855780666,0.5333926378706328,0.7414520810172349,TRAIN
3,15,-0.3497423283800842,0.2220632010832985,0.3030702756432287,0.10273314392092818,0.020706238998279253,0.42342016316831776,TRAIN
3,17,0.6670806799690656,0.6705911063475967,0.10489303941483963,0.03657176973440093,0.5989104376681709,0.7422717750270225,TRAIN
3,18,0.1161743423011646,0.35493807284648626,0.17662457248431593,0.060691473814559214,0.23598278416995022,0.4738933615230223,TRAIN
3,23,0.4752755614101999,0.5654252427207633,0.07523060643047483,0.026115290060977424,0.5142392742012476,0.6166112112402791,TRAIN
3,24,0.4952505953581922,0.68216515806194,0.14408182436756806,0.0493936154093025,0.5853536718597071,0.7789766442641729,TRAIN
3,26,1.0572081587616609,1.0885261966903446,0.049299810157317,0.01754756847045827,1.0541329624882463,1.1229194308924428,TRAIN
3,28,1.0194366387904377,0.978792525438073,0.07613506778363549,0.02721809824828096,0.9254450528714424,1.0321399980047037,TRAIN
3,29,0.5690632878365613,0.4907755316609188,0.05960771754999002,0.02134662787264402,0.44893614103053653,0.532614922291301,TRAIN
3,30,0.5804110829664653,0.5761463622856922,0.05148986927201036,0.018095037062802886,0.5406800896425985,0.6116126349287858,TRAIN
3,32,0.206746946762641,0.4691048302513335,0.2935200877908775,0.10167260261077901,0.2698265291342066,0.6683831313684603,TRAIN
3,36,0.7718229539634089,0.4800768265010108,0.1483086835695498,0.05076380176680592,0.38057977503807117,0.5795738779639504,TRAIN
4,1,0.9022416236323028,1.0013600684762727,0.12936105908769827,0.04566344178717631,0.9118597225734071,1.0908604143791383,TRAIN
4,4,3.1652019166679666,3.178994309359479,0.1186158562716256,0.04178721787632266,3.0970913623218865,3.260897256397071,TRAIN
4,5,2.6399324657099825,2.404301296106092,0.14339789073911208,0.049222744083186255,2.307824717703047,2.500777874509137,TRAIN
4,8,1.5261450614239027,1.5228551154196155,0.045145261683604145,0.015671727901075832,1.492138528733507,1.553571702105724,TRAIN
4,10,2.861562615965892,2.581509230502629,0.24783318662866902,0.08589866804845382,2.4131478411276595,2.7498706198775986,TRAIN
4,11,1.605113878399735,1.4204761203677634,0.10391817381577557,0.03615421109643505,1.3496138666187507,1.491338374116776,TRAIN
4,12,2.0392841861988047,1.7243716056736649,0.20729510976931415,0.07230554625095871,1.5826527350217858,1.866090476325544,TRAIN
4,13,2.789276873880332,2.754803475362017,0.11473896330517393,0.04009608062402718,2.676215157338924,2.8333917933851103,TRAIN
4,15,1.9463730168245883,1.7565936068959995,0.12840760752512673,0.04390222436835617,1.6705452471340214,1.8426419666579776,TRAIN
4,17,2.160640733603925,1.9345782032834393,0.22291355882892028,0.0772462273087998,1.7831755977581918,2.085980808808687,TRAIN
4,21,2.574983037305581,2.4445087089569753,0.21236712898510307,0.07515999341499328,2.2971951218635884,2.591822296050362,TRAIN
4,22,3.010299956639812,3.022798121118333,0.05391539284595039,0.018884592104980766,2.985784320592571,3.059811921644095,TRAIN
4,24,2.1711444124710546,2.1925835004065104,0.06485214951566169,0.02327952036234757,2.146955640496309,2.2382113603167118,TRAIN
4,25,3.010299956639812,2.694743147051124,0.21745607978702866,0.07514277322454656,2.547463311531013,2.842022982571235,TRAIN
4,27,2.0262176690550358,1.767847937659686,0.21006365339947103,0.07334954935911796,1.624082820915815,1.9116130544035572,TRAIN
4,29,1.8627753291183355,1.7202442438014116,0.154564297783102,0.054307846022155305,1.6138008655979872,1.826687622004836,TRAIN
4,33,1.8651442560450189,1.7683424109115868,0.08361101591587798,0.029185721709342,1.7111383963612765,1.8255464254618972,TRAIN
5,1,1.4260776218160427,1.419290052477217,0.0727128336026783,0.02601802833925854,1.3682947169322701,1.4702853880221638,TRAIN
5,3,2.2363046660079378,2.098571911008288,0.16943967579219227,0.05901795384642045,1.982896721469304,2.214247100547272,TRAIN
5,5,1.8153604221386264,2.016865345880767,0.07746403356886138,0.026284834951579426,1.9653470693756712,2.0683836223858627,TRAIN
5,7,2.2852797946208634,2.3764017774283133,0.10137692491887101,0.03560930867352444,2.306607532428205,2.4461960224284214,TRAIN
5,9,1.9149387071586668,1.9398339597534004,0.08982595630286822,0.03235061125143458,1.8764267617005888,2.003241157806212,TRAIN
5,10,2.4520653658648475,2.5535666756199182,0.06921154078082938,0.024303654795076627,2.505931512221568,2.6012018390182683,TRAIN
5,11,1.5325530118615285,1.5859613399125818,0.07273635600025107,0.025754339688208498,1.5354828341236932,1.6364398457014704,TRAIN
5,12,1.7962716853413858,1.8309587609121176,0.06371150558231359,0.02269797134079879,1.786470737084152,1.8754467847400833,TRAIN
5,13,2.6616464844388865,2.588426196691054,0.1521941917757373,0.0533445200374217,2.4838709374177075,2.6929814559644,TRAIN
5,15,1.80932199361308,1.860912387785264,0.054996305320930215,0.019305655701471826,1.8230733026103791,1.898751472960149,TRAIN
5,24,1.9170465141590325,2.0166580931117677,0.05356080799572852,0.018643125799119788,1.9801175665454929,2.0531986196780423,TRAIN
5,25,2.989110657552909,2.7127770694652833,0.18986710605543564,0.06533654938287481,2.5847174326748488,2.840836706255718,TRAIN
5,26,2.598940426796733,2.4163668861912733,0.14714379346116924,0.05116952722237417,2.3160746128354197,2.516659159547127,TRAIN
5,27,2.3232680404466337,2.117103507881211,0.16528572443460487,0.057988946552456164,2.003445172638397,2.230761843124025,TRAIN
5,29,2.2848414351859865,2.2150630089463674,0.07609075681839453,0.026883763760377533,2.1623708319760273,2.2677551859167075,TRAIN
5,30,2.354438367799905,1.9151510065635724,0.23464066668071049,0.0795676802734406,1.7591983532276287,2.071103659899516,TRAIN
5,32,2.3061953142468594,2.2378500623242634,0.12812118599321096,0.04477366020346654,2.150093688325469,2.3256064363230577,TRAIN
5,36,2.256386366878349,1.7993926881914146,0.26286301390843053,0.08898229390010888,1.6249873921472013,1.973797984235628,TRAIN
6,1,0.5985594029175545,0.8394700516619631,0.2739503529273555,0.09680483077353894,0.6497325833458267,1.0292075199780994,TRAIN
6,4,2.3264736253509346,2.293202146428675,0.08548818190304641,0.030123434441098034,2.2341602149241226,2.352244077933227,TRAIN
6,8,0.8346334028526263,0.7675025253093827,0.05494874320414682,0.019238966277848307,0.7297941514048,0.8052108992139654,TRAIN
6,9,0.9424102911050448,0.7814390197452555,0.10256682704452437,0.03475563121871388,0.7133179825565763,0.8495600569339348,TRAIN
6,10,1.707863717507739,2.000246839720144,0.25161769488567587,0.0879155834574507,1.8279322961435405,2.172561383296747,TRAIN
6,12,0.8482845735443323,0.6971512173632317,0.1363718426284714,0.04711594485946512,0.6048039654386801,0.7894984692877833,TRAIN
6,13,1.463769095008156,1.3281902135047754,0.16064798344297407,0.05541645018446501,1.219573971143224,1.4368064558663267,TRAIN
6,14,0.7881471397757259,0.8164969537217355,0.06250069790800614,0.021945602899458187,0.7734835720387975,0.8595103354046735,TRAIN
6,18,0.8503201862681276,0.7177659172458869,0.11331645499665087,0.040461986489234124,0.638460423726988,0.7970714107647858,TRAIN
6,20,0.91671677572327,0.7703264205757276,0.06320992496772553,0.021831942820586397,0.7275358126473783,0.813117028504077,TRAIN
6,25,1.749760132336324,1.5900536044119984,0.14735571765099764,0.050810671263927146,1.4904646887347013,1.6896425200892955,TRAIN
6,26,1.3941501950978723,1.330050003304688,0.06928589701066849,0.023954581435608607,1.2830990236908952,1.3770009829184808,TRAIN
