acyl_chlorides,amines,y_true,y_pred,ci_lower,ci_upper,radius,split
1,4,2.628538444878437,2.4920958784898923,2.005817883828084,2.9783738731517007,0.4862779946618083,TEST
1,7,1.817767004871492,1.7605010336089078,1.454950827555979,2.0660512396618365,0.3055502060529287,TEST
1,18,0.8126459728437819,0.9192169800259724,0.028087795557904527,1.8103461644940402,0.8911291844680678,TEST
1,21,1.6464938424872213,1.816268552653581,1.1623991846671649,2.470137920639997,0.653869367986416,TEST
1,28,1.586274097840673,1.3236289021105525,0.45472122624914924,2.1925365779719557,0.8689076758614032,TEST
1,37,1.3386945307066749,1.3218576902605013,1.0633238127948894,1.5803915677261131,0.25853387746561185,TEST
1,42,0.5970051413473701,0.903719307754742,0.5713174575518181,1.2361211579576659,0.3324018502029239,TEST
2,6,1.2339887782299857,1.120839053844394,0.537275237109965,1.7044028705788228,0.5835638167344288,TEST
2,7,1.7055273278311804,1.3626135983591476,0.7091595434608379,2.0160676532574575,0.6534540548983099,TEST
3,21,1.1665875050799814,1.040588552007059,-0.15331574152951766,2.2344928455436355,1.1939042935365765,TEST
3,22,2.047058858308353,2.049811134081174,0.8020900255285015,3.2975322426338467,1.2477211085526725,TEST
3,27,0.7401793267991856,0.8820415876112312,-0.25724659773369785,2.02132977295616,1.1392881853449288,TEST
3,33,0.4761663061386466,0.2713652307633888,-0.19366345265616763,0.7363939141829452,0.4650286834195564,TEST
3,37,1.1448950451451592,0.9707449059110276,0.1684112749088772,1.7730785369131778,0.8023336310021503,TEST
4,3,2.509494237018178,2.2663296301752984,1.5871759200029687,2.945483340347628,0.6791537101723297,TEST
4,7,2.746594283961722,2.5649406649137645,1.9029082441412606,3.2269730856862684,0.6620324207725039,TEST
4,9,1.9558139377153672,1.4695847327795537,0.3705461091002271,2.5686233564588803,1.0990386236793266,TEST
4,14,1.977088178356645,2.304606176144965,1.3237261152287547,3.2854862370611753,0.9808800609162103,TEST
4,18,1.943447898074553,1.626914423561416,0.9824986988290856,2.271330148293746,0.6444157247323301,TEST
4,20,1.8146600728698188,1.410317261997098,0.9324540637727111,1.8881804602214851,0.47786319822438705,TEST
4,26,2.6938827177131124,2.592280832480544,1.2743065478694684,3.91025511709162,1.317974284611076,TEST
4,28,2.526508026042672,2.2787820150142823,0.8883497035490775,3.669214326479487,1.3904323114652049,TEST
4,32,1.9612065655905784,1.7183564713248798,0.6028323327489684,2.833880609900791,1.1155241385759112,TEST
4,35,2.415679611373922,1.8953912442305965,1.745578284370038,2.0452042040911547,0.1498129598605582,TEST
4,37,2.689977607578294,2.3065624579312063,1.9204355095044854,2.6926894063579274,0.38612694842672113,TEST
5,8,1.4404228695626946,1.7246209349417718,0.8898731746936227,2.559368695189921,0.834747760248149,TEST
5,14,2.01005807718128,2.3019172423739733,0.7999898943690082,3.8038445903789384,1.501927348004965,TEST
5,18,1.8498403404978048,1.8437663308294825,0.49230216015815564,3.1952305015008093,1.3514641706713268,TEST
5,20,1.8198094960806444,1.8279582629040911,1.2587439456269083,2.397172580181274,0.5692143172771829,TEST
5,21,2.5587771199465505,2.3668649275233618,1.6965167374247077,3.0372131176220156,0.6703481900986539,TEST
5,31,2.5383644107322194,2.051636076733365,0.7466788320508067,3.356593321415923,1.3049572446825581,TEST
5,33,2.2670475092258333,1.5139229399070362,0.4682256062537644,2.559620273560308,1.0456973336532718,TEST
5,35,2.3116211970917626,2.078142896288362,1.7410447876013804,2.4152410049753437,0.33709810868698176,TEST
5,37,2.1018519162644163,2.2069000808523653,1.4552992951027286,2.958500866602002,0.7516007857496367,TEST
6,3,1.131993294689315,1.027130611903041,0.6491738781230478,1.4050873456830342,0.37795673377999317,TEST
6,5,1.125952259737334,1.122033630804131,0.8675971681316654,1.3764700934765965,0.25443646267246556,TEST
