acyl_chlorides,amines,HTE_lnk_corrected,test splits,acyl_Charges_secondary_1,acyl_class_aromatic,acyl_BV_secondary_2,acyl_pka_aHs_x_has_acidic_H,amine_BV_secondary_avg,amine_Charges_secondary_1,amine_class_1_mixture,amine_pka_basic,rxn_lowest_barrier_dGTS_path_B,rxn_barriers_dGTS_from_RXTS_B,rxn_barriers_dGTS_from_INT1_B,rxn_barriers_dGTS_from_PRDS_B,rxn_rxn_dG_B,rxn_imag_freq,rxn_used_constrained,rxn_ts_status_valid,int_BV_secondary_prod
1,1,2.717622709509551,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,97.89876746871695,0.0968516950332794,False,10.21,16.6,18.07,16.6,28.74,-10.67,-134.12,0.0,1.0,11034.459959138901
1,3,1.2921142450701282,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.73629724451575,0.0761664042158895,False,3.67,20.22,20.22,21.04,27.85,-7.63,-18.09,0.0,1.0,10339.869693126995
1,4,2.628538444878437,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,91.66099210939312,0.0680188908686448,False,4.78,14.27,16.18,14.27,24.93,-8.75,-71.49,1.0,0.0,10331.38182836921
1,5,1.2522770746338756,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.69236924902756,0.0784081349069482,False,4.31,15.4,17.17,15.4,24.5,-7.33,-232.62,1.0,1.0,10334.918438684956
1,6,1.1354476691294466,VAL,-0.1767996453989701,True,112.71296099478378,0.0,110.11911745167129,0.0567376377456192,False,4.06,15.3,15.3,17.81,23.49,-8.19,-289.15,1.0,0.0,12411.85179011024
1,7,1.817767004871492,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,91.7070119141903,0.074422530133453,False,4.58,12.02,12.02,16.23,18.52,-6.5,-140.23,1.0,1.0,10336.568856832304
1,8,0.7229792382615611,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,120.16816937192333,0.061708309200001,False,2.99,16.79,16.79,24.09,25.79,-9.0,-9.55,0.0,1.0,13544.510187232165
1,9,1.1491433527697965,VAL,-0.1767996453989701,True,112.71296099478378,0.0,113.80436250173454,0.0462707741485981,False,10.05,19.39,20.32,19.39,23.82,-3.5,-177.92,0.0,1.0,12827.22667169424
1,10,1.8264746417233315,VAL,-0.1767996453989701,True,112.71296099478378,0.0,91.6526248721573,0.0744394162548267,False,4.59,16.67,16.67,16.79,24.68,-8.01,-34.47,0.0,1.0,10330.438732285016
1,11,0.7238039389075566,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,106.54107762869224,0.0762461939202572,False,3.17,17.96,19.48,17.96,26.71,-7.23,-35.47,0.0,1.0,12008.560327105019
1,12,1.2657553869643257,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,106.00139082698014,0.0753459753513234,False,3.66,17.73,17.99,17.73,26.34,-8.35,-39.41,0.0,1.0,11947.730629674244
1,13,1.7998545537141892,VAL,-0.1767996453989701,True,112.71296099478378,0.0,91.4988768879486,0.0742738649821205,False,4.6,11.23,16.14,11.23,23.85,-7.71,-165.46,1.0,1.0,10313.109341737874
1,14,0.9030896009039776,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,95.90893386356711,0.0528137475814812,False,9.95,15.04,15.04,17.95,20.72,-5.68,-141.81,0.0,1.0,10810.179921615538
1,15,0.6385054329746982,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.64007401630352,0.0800714034022978,False,3.8,16.11,16.11,17.09,22.88,-6.77,-65.61,0.0,1.0,10329.024088158718
1,16,3.1335389083702174,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,85.26580809956995,0.0502728157457898,False,10.17,17.9,18.6,17.9,30.83,-12.23,-111.71,1.0,0.0,9610.561702515548
1,17,1.0986434486298131,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,98.82020946931458,0.0728578030059914,False,3.87,14.0,16.59,14.0,26.01,-9.42,-96.25,0.0,1.0,11138.318415411217
1,18,0.8126459728437819,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,92.48307316781508,0.0804367920830075,False,3.7,18.89,20.45,18.89,26.52,-6.07,-166.44,0.0,1.0,10424.041018641676
1,19,3.0280287237359604,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,71.69780996931706,0.0032953328659052,False,7.8,13.65,15.31,13.65,26.56,-11.25,-43.35,0.0,1.0,8081.272458483054
1,20,0.4097468565668261,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,99.8190484143438,0.0668829879692493,False,3.25,18.35,18.47,18.35,26.21,-7.74,-78.41,0.0,0.0,11250.900510462367
1,21,1.6464938424872213,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,99.02625268624732,0.0595301642293294,False,3.72,10.81,11.79,10.81,22.18,-10.39,-27.48,0.0,1.0,11161.542156484596
1,22,2.9311187105752223,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,95.46180962377656,0.0599938788635337,False,9.99,8.95,14.14,8.95,26.44,-12.3,-239.12,0.0,1.0,10759.783224616203
1,23,0.8217905003599802,VAL,-0.1767996453989701,True,112.71296099478378,0.0,99.2835452312496,0.0598696833313962,False,10.08,23.05,25.11,23.05,23.78,1.33,-224.54,0.0,1.0,11190.542361073689
1,24,1.0419966958630476,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.54071307412784,0.0780973867728928,False,4.35,22.29,22.29,22.32,29.93,-7.64,-43.36,0.0,0.0,10317.824822158866
1,25,1.8131672493419149,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.60032963943324,0.0739603504774249,False,4.61,15.82,17.78,15.82,26.11,-8.33,-43.06,0.0,1.0,10324.544381758777
1,26,1.470832636830519,VAL,-0.1767996453989701,True,112.71296099478378,0.0,91.99463569417252,0.076668262874409,False,4.6,17.41,18.51,17.41,26.16,-7.65,-65.75,0.0,0.0,10368.98778472661
1,27,0.20177382062419824,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,104.14543301760386,0.0553704068038561,False,10.08,19.36,19.36,21.43,27.41,-8.05,-65.04,0.0,0.0,11738.540129498051
1,28,1.586274097840673,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,99.0001050698853,0.0587451382359403,False,3.62,16.66,17.19,16.66,26.44,-9.25,-18.0,0.0,1.0,11158.594981221477
1,31,1.1512486121435614,VAL,-0.1767996453989701,True,112.71296099478378,0.0,101.9390971489765,0.0563546736528817,False,7.8,24.47,26.7,24.47,30.26,-3.56,-106.09,0.0,0.0,11489.857480796063
1,35,1.105856589054512,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,92.75396247332564,0.0770279433560462,False,4.08,16.97,16.97,21.15,23.95,-6.98,-23.14,0.0,1.0,10454.573754367591
1,36,0.43560376006282575,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.6243854464863,0.0868681857800487,False,3.17,12.33,15.6,12.33,22.39,-6.79,-226.7,1.0,1.0,10327.255783000846
1,37,1.3386945307066747,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,91.98731436159116,0.0769948932175125,False,4.54,13.13,13.13,18.46,20.56,-7.43,-49.39,1.0,0.0,10368.16257565294
1,38,3.533136288278639,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,74.6049019564466,0.0180368245229573,False,8.83,5.78,5.78,14.43,24.88,-19.1,-23.03,0.0,1.0,8408.939404236633
1,39,2.8750612633917,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.61497230459598,0.0697649451949869,False,5.74,15.29,15.98,15.29,24.19,-8.21,-24.6,1.0,0.0,10326.194799906123
1,40,0.6953487706252319,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,92.57197506344596,0.077962650010361,False,4.26,15.1,15.1,16.92,22.37,-7.27,-213.09,1.0,1.0,10434.061414536282
1,42,0.5970051413473701,TEST1,-0.1767996453989701,True,112.71296099478378,0.0,91.98731436159116,0.079231364974533,False,3.96,18.71,20.47,18.71,27.16,-6.69,-34.15,0.0,1.0,10368.16257565294
1,43,2.386141216421718,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,92.04379321293312,0.0729646396243028,False,4.84,14.82,16.56,14.82,24.55,-7.99,-227.53,1.0,1.0,10374.528474221275
1,44,2.302570092830182,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,91.9590749359202,0.0705379176439503,False,4.55,12.97,16.55,12.97,24.6,-8.05,-224.18,1.0,1.0,10364.979626368773
1,45,-0.021205426764685627,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,99.5565263460691,0.0574620922225695,False,3.36,14.05,14.05,16.88,24.69,-10.64,-50.11,0.0,1.0,11221.310870820651
1,46,1.5982267615389816,TRAIN,-0.1767996453989701,True,112.71296099478378,0.0,92.04170140362416,0.0760488328581689,False,4.26,20.35,20.35,22.49,27.88,-7.53,-138.05,0.0,1.0,10374.292700200225
