acyl_chlorides,amines,y_true,y_pred,ci_lower,ci_upper,radius,split
1,4,2.628538444878437,2.381424369378074,2.0363607504741617,2.726487988281986,0.34506361890391235,TEST
1,7,1.817767004871492,1.6433259006292311,1.3474946056863033,1.939157195572159,0.2958312949429278,TEST
1,18,0.8126459728437819,0.976732734137411,0.7826485054215206,1.1708169628533014,0.19408422871589032,TEST
1,21,1.6464938424872213,1.9193260771675171,1.6026058356378217,2.2360463186972126,0.3167202415296954,TEST
1,28,1.586274097840673,1.4351848673128502,1.0641086914919506,1.8062610431337498,0.3710761758208996,TEST
1,37,1.3386945307066749,1.4268929002332074,1.1826196721844042,1.6711661282820105,0.24427322804880308,TEST
1,42,0.5970051413473701,1.0520300124163633,0.7115391044634074,1.3925209203693192,0.34049090795295595,TEST
2,6,1.2339887782299857,1.0778904398673808,0.9012338544507016,1.2545470252840598,0.17665658541667914,TEST
2,7,1.7055273278311804,1.3443327078917149,1.1555991895485644,1.5330662262348653,0.1887335183431505,TEST
3,21,1.1665875050799814,1.1911517006472303,0.787273564333597,1.5950298369608635,0.40387813631363334,TEST
3,22,2.047058858308353,2.156476147319191,1.6118987540495509,2.7010535405888314,0.5445773932696403,TEST
3,27,0.7401793267991856,0.7942027228989756,0.4826823706397337,1.1057230751582177,0.31152035225924196,TEST
3,33,0.4761663061386466,0.5196349593449294,-0.05114440263066744,1.0904143213205262,0.5707793619755969,TEST
3,37,1.1448950451451592,1.086794607316848,0.7945718645052303,1.3790173501284655,0.29222274281161764,TEST
4,3,2.509494237018178,2.1962263010459324,1.9514837240659852,2.44096887802588,0.24474257697994725,TEST
4,7,2.746594283961722,2.3845849353527964,1.8899937888130691,2.8791760818925236,0.4945911465397273,TEST
4,9,1.9558139377153672,1.395960798947649,0.8481938369194325,1.9437277609758654,0.5477669620282165,TEST
4,14,1.977088178356645,2.4480722333432308,1.9968161528003834,2.899328313886078,0.45125608054284744,TEST
4,18,1.943447898074553,1.6610711291811815,1.3824841875216891,1.9396580708406739,0.2785869416594923,TEST
