acyl_chlorides,amines,y_true,y_pred,y_std_unweighted,y_std_weighted,lower90,upper90,lower95,upper95
1,4,2.628538444878437,2.5575118050853742,0.09711964656807873,0.11672488014323604,1.9053313802413023,3.209692229929446,1.700296690207082,3.4147269199636665
1,7,1.817767004871492,1.5524183638520552,0.11557477686460058,0.10920376086994282,0.9002379390079834,2.204598788696127,0.695203248973763,2.4096334787303473
1,18,0.8126459728437819,0.8225573426718717,0.0201725664918524,,0.17037691782779996,1.4747377675159434,-0.03465777220642052,1.679772457550164
1,21,1.6464938424872213,1.675153722361287,0.07126384976742692,0.05868263146653394,1.0229732975172152,2.3273341472053586,0.8179386074829946,2.532368837239579
1,28,1.586274097840673,1.265470079565726,0.030760092747031294,0.04593051314432948,0.6132896547216543,1.917650504409798,0.40825496468743383,2.1226851944440184
1,37,1.3386945307066749,1.1877689505616102,0.06703076175568161,,0.5355885257175385,1.839949375405682,0.330553835683318,2.0449840654399027
1,42,0.5970051413473701,0.8306084044633426,0.03085016422937297,,0.17842797961927082,1.4827888293074145,-0.026606710414949664,1.6878235193416349
2,6,1.2339887782299857,1.0844860961542981,0.02054889890261174,,0.43230567131022635,1.7366665209983698,0.22727098127600587,1.9417012110325904
2,7,1.7055273278311804,1.4841829617231783,0.044044526984541504,,0.8320025368791065,2.13636338656725,0.626967846844886,2.341398076601471
3,21,1.1665875050799814,0.9664164288344856,0.040794871179693784,0.05522625307342171,0.31423600399041385,1.6185968536785573,0.10920131395619337,1.823631543712778
3,22,2.047058858308353,1.9071366388513116,0.122179872997743,0.17098363551819254,1.25495621400724,2.5593170636953833,1.0499215239730193,2.7643517537296036
3,27,0.7401793267991856,0.8180146391670178,0.08236496472415998,0.12303059214138948,0.16583421432294598,1.4701950640110897,-0.039200475711274496,1.67522975404531
3,33,0.4761663061386466,0.21426372202501567,0.03043010432450598,,-0.43791670281905615,0.8664441468690874,-0.6429513928532766,1.071478836903308
3,37,1.1448950451451592,1.0278380667586042,0.05034629907684555,0.0783117187963375,0.37565764191453244,1.680018491602676,0.17062295188031196,1.8850531816368965
4,3,2.509494237018178,2.2331303450390507,0.05832071293494063,,1.5809499201949788,2.8853107698831226,1.3759152301607585,3.090345459917343
4,7,2.746594283961722,2.571689379545634,0.11751025884044984,0.14100336726942558,1.9195089547015622,3.223869804389706,1.7144742646673419,3.4289044944239264
4,9,1.9558139377153672,1.2579848799590652,0.13978561056084476,0.2030468148083213,0.6058044551149934,1.910165304803137,0.4007697650807729,2.1151999948373574
4,14,1.977088178356645,2.442849974594263,0.04477185924381674,0.031418204056908386,1.790669549750191,3.095030399438335,1.5856348597159706,3.300065089472555
4,18,1.943447898074553,1.5311616343384593,0.08000207837714876,,0.8789812094943875,2.183342059182531,0.673946519460167,2.388376749216752
4,20,1.8146600728698188,1.579805925945042,0.08762586011403843,0.11864620174356204,0.9276255011009703,2.231986350789114,0.7225908110667498,2.4370210408233346
4,26,2.6938827177131124,2.481865009105637,0.13503422329219353,,1.8296845842615652,3.134045433949709,1.6246498942273448,3.3390801239839294
4,28,2.5265080260426718,2.0989604678794187,0.0565991551033496,0.03096515014587675,1.4467800430353468,2.7511408927234906,1.2417453530011264,2.956175582757711
4,32,1.9612065655905784,1.611846138326083,0.10153643270895249,0.08357550874121263,0.9596657134820111,2.264026563170155,0.7546310234477906,2.469061253204375
4,35,2.415679611373922,1.8289541596119667,0.05458323454560815,0.07508856552226861,1.1767737347678948,2.4811345844560386,0.9717390447336745,2.686169274490259
4,37,2.689977607578294,2.415468715986658,0.07036771308484321,0.08572393979243753,1.7632882911425862,3.06764914083073,1.5582536011083659,3.2726838308649504
5,8,1.4404228695626946,1.7609729857275866,0.04595109547284851,,1.108792560883515,2.4131534105716583,0.9037578708492944,2.618188100605879
5,14,2.01005807718128,2.32331680899341,0.0759370029442977,,1.6711363841493383,2.975497233837482,1.466101694115118,3.1805319238717025
5,18,1.8498403404978052,1.754159634455075,0.01244478006430837,0.0163450338343874,1.1019792096110033,2.4063400592991466,0.8969445195767827,2.6113747493333674
5,20,1.8198094960806444,1.7665959536976896,0.07492282244081408,0.10528473622214608,1.114415528853618,2.4187763785417613,0.9093808388193974,2.623811068575982
5,21,2.5587771199465505,2.440861074913407,0.09455832841432667,0.12687812381587257,1.788680650069335,3.093041499757479,1.5836459600351147,3.2980761897916993
5,31,2.5383644107322194,1.927827771163323,0.06208334426447876,0.09713149745448627,1.2756473463192513,2.5800081960073946,1.0706126562850307,2.785042886041615
5,33,2.2670475092258333,1.6108953202226488,0.018659375402726646,,0.958714895378577,2.2630757450667205,0.7536802053443565,2.4681104351009413
5,35,2.3116211970917626,2.048938760715507,0.042039030005444754,0.06397067648060317,1.3967583358714353,2.701119185559579,1.191723645837215,2.9061538755937995
5,37,2.1018519162644163,2.3390194474795996,0.05089747476925113,,1.6868390226355277,2.9911998723236715,1.4818043326013073,3.196234562357892
6,3,1.131993294689315,0.9851088664790335,0.0491449633076795,0.06587404902268325,0.3329284416349617,1.6372892913231052,0.12789375160074123,1.8423239813573258
6,5,1.125952259737334,1.0679234827465545,0.0556843498309223,0.08398348093769556,0.41574305790248267,1.7201039075906261,0.2107083678682622,1.9251385976248467
6,11,0.5902151406641086,0.5064936384242816,0.0351332774484504,0.031473545797352315,-0.14568678641979016,1.1586740632683534,-0.35072147645401064,1.363708753302574
6,17,0.904741971807668,0.8023989407034349,0.09422383171122548,0.054828733080685296,0.15021851585936308,1.4545793655475068,-0.0548161741748574,1.6596140555817271
7,4,2.064079569638824,2.244022475701346,0.07347504062132842,0.1045148571491496,1.5918420508572741,2.896202900545418,1.3868073608230538,3.1012375905796383
7,13,0.9403485690203964,1.603474543096585,0.055965569478274614,0.06419232199236787,0.9512941182525133,2.255654967940657,0.7462594282182928,2.4606896579748776
7,18,0.6475074266539663,0.6769153142102811,0.0812438772891505,0.09868215465308762,0.024734889366209267,1.329095739054353,-0.1802998006680112,1.5341304290885733
7,19,3.709269960975831,2.976012432516103,0.13842752454609417,,2.323832007672031,3.6281928573601747,2.1187973176378105,3.833227547394395
7,22,3.72055097137682,2.5163596599195426,0.1395022275120561,0.17120911303415262,1.8641792350754707,3.1685400847636145,1.6591445450412503,3.373574774797835
7,29,1.2736204669884716,0.6815721052554955,0.0219006146658156,0.022574792768491333,0.029391680411423704,1.3337525300995674,-0.17564300962279678,1.5387872201337878
7,30,1.2436608497295136,0.7052026761959288,0.021655154600041547,,0.05302225135185701,1.3573831010400006,-0.15201243868236347,1.5624177910742212
7,33,1.285814592317886,0.5958074471251451,0.04501809325084336,,-0.05637297771892669,1.247987871969217,-0.26140766775314717,1.4530225620034374
7,37,0.4758197283800496,1.2022135995478462,0.06302845929634239,,0.5500331747037744,1.854394024391918,0.34499848466955396,2.0594287144261383
8,3,1.1943468339752097,1.053024023966391,0.028337202710797725,,0.40084359912231926,1.7052044488104627,0.19580890908809878,1.9102391388446833
8,4,2.299540952930785,2.3021894848163855,0.06697297976619752,,1.6500090599723136,2.9543699096604574,1.4449743699380933,3.159404599694678
8,7,1.8403640983673988,1.9412193839013159,0.05202604719661946,,1.289038959057244,2.593399808745388,1.0840042690230236,2.798434498779608
8,9,1.0745306280071691,0.9228920515498811,0.0648416161104774,,0.2707116267058093,1.5750724763939528,0.0656769366715888,1.7801071664281733
8,24,1.021351807714389,0.8055188022064772,0.06129437132357478,,0.1533383773624054,1.4576992270505489,-0.05169631267181507,1.6627339170847695
8,26,1.4191507825354612,1.2659903477784733,0.06993422583189542,0.08019194912619323,0.6138099229344015,1.918170772622545,0.40877523290018103,2.123205462656766
8,32,0.0319545888329137,0.7264797670253276,0.11078819878272433,0.12685317914150238,0.07429934218125578,1.3786601918693995,-0.1307353478529647,1.5836948819036198
9,3,0.4139791278315436,0.76618256078299,0.05532906497728129,,0.11400213593891817,1.4183629856270619,-0.09103255409530231,1.6233976756612822
9,10,1.0478465098102745,1.2415015745589286,0.018857263972607716,,0.5893211497148568,1.8936819994030003,0.38428645968063635,2.0987166894372207
9,12,0.7124620432642064,0.5239692163688301,0.06463669137078121,0.08681113994731941,-0.1282112084752417,1.176149641212902,-0.3332458985094622,1.3811843312471224
9,16,3.2321487063409915,2.4418808723837735,0.11080954179128284,,1.7897004475397016,3.0940612972278454,1.5846657575054812,3.2990959872620658
9,20,0.8535677392410589,0.1613610700770723,0.09150134969818162,0.010602003669600932,-0.4908193547669995,0.8135414949211441,-0.69585404480122,1.0185761849553645
9,25,0.9977231638446568,1.6067817616652358,0.10079713057849853,,0.954601336821164,2.2589621865093075,0.7495666467869435,2.4639968765435283
9,26,0.4141821522879512,1.035317202349609,0.015023017402788023,0.02135284927344378,0.3831367775055371,1.6874976271936806,0.17810208747131662,1.8925323172279012
9,32,0.5037887442479265,0.2646178743646225,0.06672626907785356,,-0.3875625504794493,0.9167982992086943,-0.5925972405136698,1.1218329892429146
9,33,0.9179810523697648,0.13305266826222162,0.08370291853903715,,-0.5191277565818502,0.7852330931062934,-0.7241624466160707,0.9902677831405139
9,37,0.3372887661462162,1.0027060571262951,0.030022071827450664,0.04205209666457742,0.35052563228222333,1.654886481970367,0.14549094224800285,1.8599211720045874
10,6,0.2098569672141804,0.8268205853348156,0.05610880640779008,0.05017937568035967,0.17464016049074382,1.4790010101788873,-0.030394529543476656,1.6840357002131079
10,8,-0.0338161000181882,0.4761655797830002,0.07063577523042576,,-0.17601484506107157,1.1283460046270721,-0.38104953509529205,1.3333806946612925
10,9,0.7936869182544245,0.14111534649555652,0.1278256726512109,,-0.5110650783485153,0.7932957713396283,-0.7160997683827357,0.9983304613738488
10,10,2.076892406979559,1.7127360438613557,0.11206996960031243,0.14184768069061526,1.060555619017284,2.3649164687054274,0.8555209289830634,2.5699511587396477
10,17,1.87515581342602,1.067549468187909,0.047336374790210946,0.0616683552237179,0.4153690433438372,1.7197298930319809,0.2103343533096167,1.9247645830662012
10,26,1.634697617392311,1.530384255499641,0.028081607641007703,,0.8782038306555692,2.1825646803437126,0.6731691406213487,2.3875993703779335
