acyl_chlorides,amines,y_true,y_pred,ci_lower,ci_upper,radius,split
1,4,2.628538444878437,2.381424369378074,2.040435028360167,2.7224137103959807,0.3409893410179067,TEST
1,7,1.817767004871492,1.6433259006292311,1.350987581581018,1.9356642196774443,0.2923383190482131,TEST
1,18,0.8126459728437819,0.976732734137411,0.7849401207578214,1.1685253475170008,0.19179261337958964,TEST
1,21,1.6464938424872213,1.9193260771675171,1.606345454089091,2.2323067002459434,0.31298062307842617,TEST
1,28,1.586274097840673,1.4351848673128502,1.068490108060794,1.8018796265649064,0.36669475925205625,TEST
1,37,1.3386945307066749,1.4268929002332074,1.1855038852879005,1.6682819151785142,0.24138901494530693,TEST
1,42,0.5970051413473701,1.0520300124163633,0.7155593908704916,1.388500633962235,0.33647062154587165,TEST
2,6,1.2339887782299857,1.0778904398673808,0.9033196959591943,1.2524611837755673,0.17457074390818655,TEST
2,7,1.7055273278311804,1.3443327078917149,1.157827627314841,1.5308377884685889,0.18650508057687393,TEST
3,21,1.1665875050799814,1.1911517006472303,0.7920422842718239,1.5902611170226368,0.3991094163754064,TEST
3,22,2.047058858308353,2.156476147319191,1.6183287556755261,2.694623538962856,0.5381473916436649,TEST
3,27,0.7401793267991856,0.7942027228989756,0.486360592314572,1.1020448534833793,0.30784213058440363,TEST
3,33,0.4761663061386466,0.5196349593449294,-0.04440502587552719,1.0836749445653862,0.5640399852204566,TEST
3,37,1.1448950451451592,1.086794607316848,0.7980222330564186,1.3755669815772773,0.2887723742604293,TEST
4,3,2.509494237018178,2.1962263010459324,1.9543734789242946,2.43807912316757,0.24185282212163775,TEST
4,7,2.746594283961722,2.3845849353527964,1.8958335866374876,2.873336284068105,0.4887513487153089,TEST
4,9,1.9558139377153672,1.395960798947649,0.8546614988165783,1.9372600990787197,0.5412993001310707,TEST
4,14,1.977088178356645,2.4480722333432308,2.002144279467928,2.8940001872185337,0.44592795387530304,TEST
4,18,1.943447898074553,1.6610711291811815,1.3857735537531646,1.9363687046091984,0.27529757542801697,TEST
4,20,1.8146600728698188,1.5938710666017817,1.1519398685125495,2.035802264691014,0.44193119808923215,TEST
4,26,2.6938827177131124,2.5681569743427475,2.295339436437156,2.840974512248339,0.2728175379055914,TEST
4,28,2.526508026042672,2.311370582157255,2.0361994051723458,2.586541759142164,0.27517117698490917,TEST
4,32,1.9612065655905784,1.5893714651648108,1.2049607121579795,1.973782218171642,0.38441075300683136,TEST
4,35,2.415679611373922,1.8225718123876051,1.5310271810064138,2.1141164437687965,0.2915446313811914,TEST
4,37,2.689977607578294,2.031321057247643,1.417253067589371,2.6453890469059145,0.6140679896582718,TEST
5,8,1.4404228695626946,1.7120366006308003,1.5754091023317327,1.848664098929868,0.1366274982990677,TEST
5,14,2.01005807718128,2.211576370788321,1.6955212116912253,2.7276315298854166,0.5160551590970958,TEST
5,18,1.8498403404978048,1.77482074665943,1.4778278263342286,2.071813666984631,0.2969929203252014,TEST
5,20,1.8198094960806444,1.8954106021647144,1.7028039479791024,2.088017256350326,0.19260665418561188,TEST
5,21,2.5587771199465505,2.3218405620773948,2.161780007333593,2.4819011168211964,0.16006055474380165,TEST
5,31,2.5383644107322194,1.9949697225593208,1.6788136562141984,2.311125788904443,0.3161560663451225,TEST
5,33,2.2670475092258333,1.654719673832734,1.250035031300929,2.0594043163645392,0.40468464253180514,TEST
5,35,2.3116211970917626,2.069902334145833,1.8952286804125444,2.244575987879122,0.17467365373328875,TEST
5,37,2.1018519162644163,2.1990460176035533,1.9970945681123888,2.400997467094718,0.2019514494911645,TEST
6,3,1.131993294689315,0.9741432363200886,0.8411261733350421,1.107160299305135,0.1330170629850465,TEST
6,5,1.125952259737334,1.0858488219560518,0.9827192614681514,1.1889783824439524,0.10312956048790049,TEST
6,11,0.5902151406641086,0.5475674321867932,0.3929738937953432,0.7021609705782431,0.15459353839144999,TEST
