acyl_chlorides,amines,y_true,y_pred,y_std_boot,y_ci95_lower,y_ci95_upper,split
1,4,2.628538444878437,2.58762751709285,0.01324256298746801,2.559781569509118,2.613361430230322,TEST
1,7,1.817767004871492,1.688222493246723,0.006963166377684627,1.6746153809959008,1.7021993262716963,TEST
1,18,0.8126459728437819,1.0842244824481717,0.021269686628161276,1.0435678522517349,1.126474161757184,TEST
1,21,1.6464938424872213,1.9074316206405564,0.017895397042799098,1.8738043597803595,1.9433499587706138,TEST
1,28,1.586274097840673,1.5383927430280724,0.022908365364648475,1.495490468925899,1.5836892757947953,TEST
1,37,1.3386945307066749,1.2858237134979702,0.006426623335620626,1.2728784284668693,1.2982809852914694,TEST
1,42,0.5970051413473701,0.9575144992285168,0.010779657043545342,0.9360194599284819,0.977707148374873,TEST
2,6,1.2339887782299857,1.272123200768837,0.013793961944471491,1.2456290203832925,1.2986219845016547,TEST
2,7,1.7055273278311804,1.2894656187226736,0.015370062234363402,1.2591005550337404,1.319632952949612,TEST
3,21,1.1665875050799814,1.1546529748057464,0.018563315414082102,1.1181049792035367,1.190889087635804,TEST
3,22,2.047058858308353,2.396391321563117,0.03165577800643658,2.3369981526057675,2.458589089483494,TEST
3,27,0.7401793267991856,1.0501381100938965,0.021553083945953653,1.0082947810604819,1.0925768588935718,TEST
3,33,0.4761663061386466,0.22811542737303375,0.012115225996393104,0.2039120890933795,0.25182023879755716,TEST
3,37,1.1448950451451592,1.1470173479522705,0.020768727685328666,1.109273272182605,1.1874588814397473,TEST
4,3,2.509494237018178,2.153222724896583,0.019507957965803797,2.116665458568947,2.191045573001518,TEST
4,7,2.746594283961722,2.6014036458134706,0.018466359312729032,2.5668072284847163,2.639392443609231,TEST
4,9,1.9558139377153672,1.2335739725571462,0.01893099048382428,1.195659703855894,1.270785470754616,TEST
4,14,1.977088178356645,2.1686916731661703,0.02550707752126214,2.116468973343774,2.2214590162011305,TEST
4,18,1.943447898074553,1.743604468903928,0.0153773646942343,1.7138676467841245,1.77512089443238,TEST
4,20,1.8146600728698188,1.4455177843419416,0.012012302093943366,1.4219023013474608,1.470293275885176,TEST
4,26,2.6938827177131124,2.8129831194724195,0.01392840452802109,2.7852459831271648,2.8401338729395635,TEST
4,28,2.5265080260426718,2.626481679467771,0.03358063274779234,2.558284260857103,2.6908039441461287,TEST
4,32,1.9612065655905784,1.7718338121516286,0.029424129393718895,1.7147415360544522,1.8343686625495828,TEST
4,35,2.415679611373922,1.9655179274891452,0.01180413952667366,1.9426030990016727,1.989557073998697,TEST
4,37,2.689977607578294,2.41875601506107,0.010072471595304005,2.3984339594303705,2.437644611346274,TEST
5,8,1.4404228695626946,1.8090849471921167,0.012138807204668802,1.7847295261945206,1.8325832950828884,TEST
5,14,2.01005807718128,2.1934657408115843,0.03756719065201253,2.120948782174911,2.265832033533026,TEST
5,18,1.8498403404978052,2.0568195165871197,0.02361893032296969,2.0122613314983875,2.1057633032790264,TEST
5,20,1.8198094960806444,1.9157532336313383,0.012860324128737435,1.8906853822276088,1.9408066709810128,TEST
5,21,2.5587771199465505,2.5259186469713963,0.016825742074293274,2.4946682751323626,2.5595504551497275,TEST
5,31,2.5383644107322194,2.408176136064386,0.03377342478377577,2.3446403520318744,2.4747811910671884,TEST
5,33,2.2670475092258333,1.5775527029822254,0.015061999733579587,1.546711818223436,1.6061810384094841,TEST
5,35,2.3116211970917626,2.129732339261128,0.012291046806458551,2.1035223654440824,2.1529197127388553,TEST
5,37,2.1018519162644163,2.283867633097336,0.018249968931044126,2.246187158681597,2.319266231833576,TEST
6,3,1.131993294689315,1.0512220305191622,0.009687954258751004,1.032926894703407,1.0697407495450604,TEST
6,5,1.125952259737334,1.1277734404864377,0.008436591787933894,1.1114418317143666,1.1444334941422554,TEST
6,11,0.5902151406641086,0.6850354210770904,0.02145058702314086,0.6444797578795574,0.725955931934616,TEST
