acyl_chlorides,amines,Controls,HTE_rate (old),Fast_unmeasurable,Slow_unreliable,amine_smiles,acid_smiles,test splits,HTE_rate_corrected (all),HTE_rate_corrected,predicted_bias_correction,classified_rate,NMR_rate
1,37,11.76353277,21.81195187,FALSE,FALSE,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1,20.4424312,21.81195187,1.369520669,0,11.833
1,38,11.76353277,3413,FALSE,FALSE,ClC(C=C1)=CC=C1C(N2CCNCC2)C3=CC=CC=C3,ClC(c1ccc(F)cc1)=O,TEST1,3413,3413,0,1,2191.3634
1,39,11.76353277,750,FALSE,FALSE,NC1=CC=C(N2CCOCC2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1,749.872949,750,0.127050959,0,138.6262
1,40,11.76353277,7.34,FALSE,TRUE,NC1=CC(C2=CC=CC=C2)=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1,4.958482338,4.958482338,2.381517662,0,12.673
1,41,11.76353277,4.1,FALSE,TRUE,NC1=C(OC2=CC=CC=C2)C=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1,0,0,7.101182558,0,1.434
1,42,11.76353277,6.06,FALSE,TRUE,NC1=CC=CC(C#C)=C1,ClC(c1ccc(F)cc1)=O,TEST1,3.953713006,3.953713006,2.106286994,0,1.2271
1,43,11.76353277,243.2995,FALSE,FALSE,NC1=CC(CCC2)=C2C=C1,ClC(c1ccc(F)cc1)=O,TEST1,243.0143007,243.2995,0.28519933,0,197.6356
1,44,11.76353277,200.7105,FALSE,FALSE,NC1=CC2=C(OCCO2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1,200.426773,200.7105,0.28372704,0,43.4062
1,45,11.76353277,9.385,FALSE,TRUE,ClC1=CC(OC)=C(N)C=C1OC,ClC(c1ccc(F)cc1)=O,TEST1,0.952345586,0.952345586,8.432654414,0,3.5339
1,46,11.76353277,39.6485,FALSE,FALSE,NC1=CC2=C(C=C1)C3=CC=CC=C3C2,ClC(c1ccc(F)cc1)=O,TEST1,39.22062741,39.6485,0.427872591,0,10.9399
1,47,11.76353277,38.678,FALSE,FALSE,NC1=CC=C(OC2=CC=CC=C2)C=C1,ClC(c1ccc(F)cc1)=O,TEST1,38.43582225,38.678,0.242177754,0,10.3811
1,48,11.76353277,24.594,FALSE,FALSE,NC1=C(N2CCOCC2)C=CC=C1,ClC(c1ccc(F)cc1)=O,TEST1,22.13653689,24.594,2.457463114,0,7.4106
1,49,11.76353277,0,TRUE,FALSE,CCNCC,ClC(c1ccc(F)cc1)=O,TRAIN,0,0,0,1,
1,50,11.76353277,0,TRUE,FALSE,CCCCC(CC)CNCC(CC)CCCC,ClC(c1ccc(F)cc1)=O,TRAIN,0,0,0,1,
1,51,11.76353277,0,TRUE,FALSE,C1CCNC1,ClC(c1ccc(F)cc1)=O,TRAIN,0,0,0,1,
1,52,11.76353277,0,TRUE,FALSE,C1CN(CCN1)C2=CC=CC=C2F,ClC(c1ccc(F)cc1)=O,TRAIN,0,0,0,1,
1,53,11.76353277,0,TRUE,FALSE,CNCC1=C2C=CC=CC2=CC3=CC=CC=C31,ClC(c1ccc(F)cc1)=O,TRAIN,0,0,0,1,
2,1,7.01754386,4.928886809,FALSE,TRUE,CC(N)(C)C,ClC(=O)c1ccccc1,TRAIN,0,0,5.095906146,0,
2,3,7.01754386,20.5394252,FALSE,FALSE,Nc1ccc(F)cc1,ClC(=O)c1ccccc1,TRAIN,20.47585138,20.5394252,0.063573817,0,6.8476
2,4,7.01754386,290.9090909,FALSE,FALSE,COc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN,290.9074371,290.9090909,0.001653756,0,
2,5,7.01754386,15.97858099,FALSE,FALSE,Nc1ccccc1,ClC(=O)c1ccccc1,TRAIN,15.93206859,15.97858099,0.046512402,0,
2,6,7.01754386,17.13913021,FALSE,FALSE,Nc1c(C)cc(C)cc1C,ClC(=O)c1ccccc1,TRAIN,16.73361773,17.13913021,0.405512481,0,
2,7,7.01754386,50.7606679,FALSE,FALSE,CCCCCCCc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN,50.75901414,50.7606679,0.001653756,0,
2,8,7.01754386,8.761154311,FALSE,TRUE,CC(C)c1cccc(C(C)C)c1N,ClC(=O)c1ccccc1,TRAIN,6.717493048,6.717493048,2.043661263,0,
2,9,7.01754386,11.72713654,FALSE,FALSE,C1CCC(CC1)NC2CCCCC2,ClC(=O)c1ccccc1,TRAIN,11.61786645,11.72713654,0.109270089,0,
2,10,7.01754386,52.38938053,FALSE,FALSE,CCCCCCc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN,52.38772677,52.38938053,0.001653756,0,
2,11,7.01754386,8.530278697,FALSE,TRUE,CSc1ccccc1N,ClC(=O)c1ccccc1,TRAIN,6.443208327,6.443208327,2.08707037,0,
2,12,7.01754386,8.579325594,FALSE,TRUE,Nc1ccccc1c2ccccc2,ClC(=O)c1ccccc1,TRAIN,6.942793733,6.942793733,1.636531861,0,
