acyl_chlorides,amines,HTE_lnk_corrected,test splits,acyl_num_Hs,acyl_Charges_Hs_avg,acyl_num_Hs_x_has_num_Hs,acyl_has_acidic_H_for_pka_aHs,acyl_pka_aHs,acyl_BV_secondary_avg,acyl_fukui_E_Hs_avg,acyl_has_acidic_H_for_pka_lowest,acyl_Charges_main_atom,acyl_has_num_Hs,acyl_has_pKa_features,acyl_BV_secondary_2,acyl_Charges_Hs_avg_x_has_num_Hs
1,1,2.717622709509551,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,3,1.2921142450701282,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,4,2.628538444878437,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,5,1.2522770746338756,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,6,1.1354476691294466,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,7,1.817767004871492,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,8,0.7229792382615611,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,9,1.1491433527697965,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,10,1.8264746417233315,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,11,0.7238039389075566,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,12,1.2657553869643257,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,13,1.7998545537141892,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,14,0.9030896009039776,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,15,0.6385054329746982,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,16,3.1335389083702174,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,17,1.0986434486298131,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,18,0.8126459728437819,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,19,3.0280287237359604,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
1,20,0.4097468565668261,TRAIN,0,0.0,0,0,50.0,80.92844149743784,0.0,0,0.2998544971362415,0,0,112.71296099478378,0.0
