acyl_chlorides,amines,y_true,y_pred,ci_lower,ci_upper,radius,split
1,4,2.628538444878437,2.4920958784898923,2.200550917412655,2.7836408395671297,0.2915449610772376,TEST
1,7,1.817767004871492,1.7605010336089078,1.4689560725316702,2.0520459946861456,0.2915449610772376,TEST
1,18,0.8126459728437819,0.9192169800259724,0.6276720189487348,1.21076194110321,0.2915449610772376,TEST
1,21,1.6464938424872213,1.816268552653581,1.5247235915763433,2.1078135137308185,0.2915449610772376,TEST
1,28,1.586274097840673,1.3236289021105525,1.032083941033315,1.61517386318779,0.2915449610772376,TEST
1,37,1.3386945307066749,1.3218576902605013,1.0303127291832637,1.6134026513377389,0.2915449610772376,TEST
1,42,0.5970051413473701,0.903719307754742,0.6121743466775044,1.1952642688319797,0.2915449610772376,TEST
2,6,1.2339887782299857,1.120839053844394,0.8292940927671564,1.4123840149216316,0.2915449610772376,TEST
2,7,1.7055273278311804,1.3626135983591476,1.07106863728191,1.6541585594363852,0.2915449610772376,TEST
3,21,1.1665875050799814,1.040588552007059,0.7490435909298214,1.3321335130842966,0.2915449610772376,TEST
3,22,2.047058858308353,2.049811134081174,1.7582661730039366,2.341356095158412,0.2915449610772376,TEST
3,27,0.7401793267991856,0.8820415876112312,0.5904966265339936,1.1735865486884687,0.2915449610772376,TEST
3,33,0.4761663061386466,0.2713652307633888,-0.020179730313848787,0.5629101918406264,0.2915449610772376,TEST
3,37,1.1448950451451592,0.9707449059110276,0.67919994483379,1.2622898669882652,0.2915449610772376,TEST
4,3,2.509494237018178,2.2663296301752984,1.9747846690980608,2.557874591252536,0.2915449610772376,TEST
4,7,2.746594283961722,2.5649406649137645,2.2733957038365267,2.8564856259910023,0.2915449610772376,TEST
4,9,1.9558139377153672,1.4695847327795537,1.178039771702316,1.7611296938567913,0.2915449610772376,TEST
4,14,1.977088178356645,2.304606176144965,2.0130612150677276,2.5961511372222024,0.2915449610772376,TEST
4,18,1.943447898074553,1.626914423561416,1.3353694624841783,1.9184593846386535,0.2915449610772376,TEST
4,20,1.8146600728698188,1.410317261997098,1.1187723009198605,1.7018622230743357,0.2915449610772376,TEST
4,26,2.6938827177131124,2.592280832480544,2.3007358714033064,2.883825793557782,0.2915449610772376,TEST
4,28,2.526508026042672,2.2787820150142823,1.9872370539370448,2.57032697609152,0.2915449610772376,TEST
4,32,1.9612065655905784,1.7183564713248798,1.4268115102476422,2.0099014324021174,0.2915449610772376,TEST
4,35,2.415679611373922,1.8953912442305965,1.6038462831533589,2.186936205307834,0.2915449610772376,TEST
4,37,2.689977607578294,2.3065624579312063,2.015017496853969,2.5981074190084437,0.2915449610772376,TEST
5,8,1.4404228695626946,1.7246209349417718,1.4330759738645342,2.016165896019009,0.2915449610772376,TEST
5,14,2.01005807718128,2.3019172423739733,2.0103722812967355,2.593462203451211,0.2915449610772376,TEST
5,18,1.8498403404978048,1.8437663308294825,1.552221369752245,2.13531129190672,0.2915449610772376,TEST
5,20,1.8198094960806444,1.8279582629040911,1.5364133018268535,2.1195032239813285,0.2915449610772376,TEST
5,21,2.5587771199465505,2.3668649275233618,2.0753199664461244,2.658409888600599,0.2915449610772376,TEST
5,31,2.5383644107322194,2.051636076733365,1.7600911156561272,2.343181037810602,0.2915449610772376,TEST
5,33,2.2670475092258333,1.5139229399070362,1.2223779788297986,1.8054679009842738,0.2915449610772376,TEST
5,35,2.3116211970917626,2.078142896288362,1.7865979352111243,2.3696878573655997,0.2915449610772376,TEST
5,37,2.1018519162644163,2.2069000808523653,1.9153551197751277,2.498445041929603,0.2915449610772376,TEST
6,3,1.131993294689315,1.027130611903041,0.7355856508258034,1.3186755729802786,0.2915449610772376,TEST
6,5,1.125952259737334,1.122033630804131,0.8304886697268934,1.4135785918813686,0.2915449610772376,TEST
6,11,0.5902151406641086,0.566903431653661,0.2753584705764234,0.8584483927308986,0.2915449610772376,TEST
6,17,0.904741971807668,0.92767469568128,0.6361297346040424,1.2192196567585176,0.2915449610772376,TEST
7,4,2.064079569638824,2.189169610027017,1.8976246489497794,2.4807145711042544,0.2915449610772376,TEST
7,13,0.9403485690203964,1.5625130749198293,1.2709681138425917,1.8540580359970669,0.2915449610772376,TEST
7,18,0.6475074266539663,0.5916875270152513,0.3001425659380137,0.8832324880924889,0.2915449610772376,TEST
7,19,3.709269960975831,2.918082085419237,2.6265371243419997,3.2096270464964745,0.2915449610772376,TEST
7,22,3.72055097137682,2.4222704558702715,2.130725494793034,2.713815416947509,0.2915449610772376,TEST
7,29,1.2736204669884716,0.6823746157253876,0.39082965464815,0.9739195768026252,0.2915449610772376,TEST
7,30,1.2436608497295136,0.7170290167943368,0.42548405571709924,1.0085739778715745,0.2915449610772376,TEST
7,33,1.285814592317886,0.5411986850426566,0.24965372396541896,0.8327436461198942,0.2915449610772376,TEST
7,37,0.4758197283800496,1.2513512254592511,0.9598062643820136,1.5428961865364887,0.2915449610772376,TEST
8,3,1.1943468339752097,0.992354440180794,0.7008094791035564,1.2838994012580316,0.2915449610772376,TEST
8,4,2.299540952930785,2.269382737689032,1.9778377766117943,2.5609276987662692,0.2915449610772376,TEST
8,7,1.8403640983673988,2.0483637043776906,1.756818743300453,2.339908665454928,0.2915449610772376,TEST
8,9,1.0745306280071691,0.7436136716954713,0.4520687106182337,1.035158632772709,0.2915449610772376,TEST
8,24,1.021351807714389,0.9474598419458622,0.6559148808686246,1.2390048030230998,0.2915449610772376,TEST
8,26,1.4191507825354612,1.1666399163722605,0.8750949552950229,1.458184877449498,0.2915449610772376,TEST
8,32,0.0319545888329137,0.8323102431407254,0.5407652820634878,1.123855204217963,0.2915449610772376,TEST
9,3,0.4139791278315436,0.919667521704001,0.6281225606267634,1.2112124827812387,0.2915449610772376,TEST
9,10,1.0478465098102745,1.2364905944032876,0.94494563332605,1.5280355554805252,0.2915449610772376,TEST
9,12,0.7124620432642064,0.5214512134452065,0.2299062523679689,0.8129961745224441,0.2915449610772376,TEST
9,16,3.2321487063409915,2.2364318146779056,1.944886853600668,2.5279767757551435,0.2915449610772376,TEST
9,20,0.8535677392410589,0.3507843640424823,0.059239402965244714,0.64232932511972,0.2915449610772376,TEST
9,25,0.9977231638446568,1.3209194477835475,1.02937448670631,1.6124644088607851,0.2915449610772376,TEST
9,26,0.4141821522879512,1.0721006975301286,0.780555736452891,1.3636456586073662,0.2915449610772376,TEST
9,32,0.5037887442479265,0.5042485441018237,0.21270358302458614,0.7957935051790613,0.2915449610772376,TEST
9,33,0.9179810523697648,0.3370040326784535,0.04545907160121593,0.6285489937556912,0.2915449610772376,TEST
9,37,0.3372887661462162,0.9916014618735072,0.7000565007962696,1.2831464229507448,0.2915449610772376,TEST
10,6,0.2098569672141804,0.9442123493389448,0.6526673882617072,1.2357573104161825,0.2915449610772376,TEST
10,8,-0.0338161000181882,0.5062459570127906,0.21470099593555303,0.7977909180900282,0.2915449610772376,TEST
10,9,0.7936869182544245,0.3940957785733117,0.10255081749607409,0.6856407396505493,0.2915449610772376,TEST
10,10,2.076892406979559,1.7678057315828004,1.4762607705055628,2.059350692660038,0.2915449610772376,TEST
10,17,1.87515581342602,1.1706560706165772,0.8791111095393396,1.4622010316938148,0.2915449610772376,TEST
10,26,1.634697617392311,1.469367145897773,1.1778221848205355,1.7609121069750107,0.2915449610772376,TEST
10,28,2.107897144593646,1.3144670389372268,1.0229220778599892,1.6060120000144644,0.2915449610772376,TEST
