n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
8,Bayesian Ridge,0.272677059,0.399199568,each,"['amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_BV_secondary_2', 'acyl_FCS_1', 'acyl_global_E', 'acyl_fukui_N_Hs_avg', 'amine_PYR', 'amine_class_2_mixture', 'acyl_Charges_Hs_avg', 'acyl_EA', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'acyl_DISP_atom', 'amine_HOMO', 'amine_class_2_aliphatic']"
6,Bayesian Ridge,0.225521663,0.391130875,each,"['amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_BV_secondary_2', 'acyl_FCS_1', 'acyl_global_E', 'amine_PYR', 'acyl_Charges_Hs_avg', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'acyl_DISP_atom', 'amine_class_2_aliphatic']"
2,XGBoost,0.294877624,0.38232877,each,"['amine_PYR', 'amine_L_main_atom_1', 'acyl_Charges_Hs_avg', 'acyl_BV_secondary_2']"
17,Bayesian Ridge,-0.129984973,0.361833993,each,"['acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_BV_main_1', 'acyl_class_hetero', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_aHs', 'amine_FCS_1', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
4,XGBoost,0.481464703,0.33060525,each,"['amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_BV_secondary_2', 'acyl_global_E', 'amine_PYR', 'acyl_Charges_Hs_avg', 'amine_class_1_mixture', 'acyl_DISP_atom']"
26,XGBoost,0.544215383,0.330022548,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'acyl_L_main_atom_1', 'amine_class_2_mixture', 'amine_global_E', 'acyl_class_aliphatic', 'amine_B1_main_atom_1', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_mol', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'acyl_pka_lowest_x_has_pKa_features', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_FREQS_1', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'amine_FREQS_1', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'amine_FCS_avg', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'acyl_has_num_Hs', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
5,Bayesian Ridge,0.168603167,0.323408251,each,"['amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'acyl_BV_secondary_2', 'acyl_global_E', 'amine_PYR', 'acyl_Charges_Hs_avg', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'acyl_DISP_atom']"
24,XGBoost,0.527807904,0.323247749,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'acyl_L_main_atom_1', 'amine_class_2_mixture', 'amine_global_E', 'acyl_class_aliphatic', 'amine_B1_main_atom_1', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_FREQS_1', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'amine_FREQS_1', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
19,Bayesian Ridge,-0.019478837,0.321149682,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'acyl_fukui_N_Hs_avg', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_aHs', 'amine_FCS_1', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
23,XGBoost,0.559566482,0.318030952,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'amine_B1_main_atom_1', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_FREQS_1', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'amine_FREQS_1', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
20,XGBoost,0.529650995,0.307836961,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'amine_FCS_1', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
21,XGBoost,0.521683988,0.280689921,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
22,XGBoost,0.552575575,0.267336812,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'amine_class_2_mixture', 'acyl_class_aliphatic', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_FREQS_1', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'amine_FREQS_1', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
25,XGBoost,0.566587004,0.244021908,each,"['acyl_has_pKa_features', 'acyl_BV_secondary_2', 'acyl_L_main_atom_1', 'amine_class_2_mixture', 'amine_global_E', 'acyl_class_aliphatic', 'amine_B1_main_atom_1', 'acyl_pka_aHs_x_has_acidic_H', 'amine_BV_secondary_avg', 'acyl_num_Hs_x_has_num_Hs', 'amine_hardness', 'amine_DISP_atom', 'amine_B5_main_atom_1', 'acyl_BV_Hs_avg_x_has_num_Hs', 'acyl_class_hetero', 'acyl_pka_lowest_x_has_pKa_features', 'amine_BV_main_1', 'amine_L_avg', 'acyl_global_E', 'amine_PYR', 'acyl_FREQS_1', 'acyl_DISP_atom', 'acyl_num_Hs', 'amine_class_1_aromatic', 'amine_L_main_atom_1', 'acyl_has_acidic_H_for_pka_aHs', 'amine_EA', 'amine_LUMO', 'amine_class_1_aliphatic', 'amine_FREQS_1', 'acyl_fukui_N_Hs_avg', 'amine_fukui_N_main_atom', 'acyl_class_aromatic', 'acyl_Charges_Hs_avg', 'amine_FCS_avg', 'acyl_Charges_Hs_avg_x_has_num_Hs', 'acyl_FCS_1', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_fukui_E_Hs_avg', 'acyl_pka_lowest_x_has_acidic_H', 'acyl_pka_aHs', 'acyl_BV_Hs_avg', 'amine_Charges_secondary_1', 'acyl_EA', 'amine_FCS_1', 'amine_pka_basic', 'amine_Charges_secondary_avg', 'amine_class_1_mixture', 'amine_HOMO', 'amine_class_2_aliphatic']"
3,XGBoost,0.545296985,0.209272022,each,"['amine_L_main_atom_1', 'acyl_BV_secondary_2', 'acyl_global_E', 'amine_PYR', 'acyl_Charges_Hs_avg', 'amine_class_1_mixture']"
1,Random Forest,0.339389919,-0.129078374,each,"['amine_PYR', 'acyl_BV_secondary_2']"
